Algorithm,RunMinDistance_Min,RunMinDistance_Mean,RunMinDistance_Std,SafetyViolation_Prob,Collision_Prob,TotalQSigmaInvStageCost_Mean,TotalQSigmaInvStageCost_Std,RunMaxComputeTimeMs_Max,RunMaxComputeTimeMs_Mean,RunMaxComputeTimeMs_Std
MPPI,1.0536831617355347,1.0709192752838135,0.014362070200669552,0.0,0.0,45738.58137766096,651.4924395618177,71.06434200068179,65.01725939997414,3.382126646773777
RAMPPI,1.0439488887786865,1.0689582347869873,0.024613865628993294,0.0,0.0,42454.80743268049,1539.7979216614906,73.39262099958432,68.94402900034038,2.5011034970891837
DRMPPI,0.5784765481948853,0.9947142362594604,0.23703587933598566,0.0,0.0,130740.06748596756,33964.71818787477,88.89099199950579,71.876013000292,9.512629202449817
DRAMPPI,1.1979650259017944,1.21835515499115,0.027857594232904005,0.0,0.0,156413.70687203103,2982.2105415647507,137.48673800000688,131.41410560019722,3.4077542279016586
