Algorithm,RunMinDistance_Min,RunMinDistance_Mean,RunMinDistance_Std,SafetyViolation_Prob,Collision_Prob,TotalQSigmaInvStageCost_Mean,TotalQSigmaInvStageCost_Std,RunMaxComputeTimeMs_Max,RunMaxComputeTimeMs_Mean,RunMaxComputeTimeMs_Std
MPPI,0.018329991027712822,0.13881320582702755,0.09912540666618472,1.0,1.0,5.505076595055871,0.21424194541617497,71.77586099714972,11.66989437002485,10.734843947869242
RAMPPI,0.007354992441833019,0.5228698301594704,0.3223215365798728,0.52,0.52,5.747027174134273,0.6706164585795946,72.76336299764807,10.659061669975927,10.846900381598768
DRMPPI,1.7429224252700806,1.83342414021492,0.03179697998741103,0.0,0.0,4.402416739684996,0.04556543365962352,69.88608900064719,12.11900891012192,13.131643562218303
DRAMPPI,0.006961592007428408,0.059359222990460696,0.02751163626075414,1.0,1.0,5.357016015290283,0.09413409679440143,364.62609299996984,91.19534703000681,57.765408992400374
