Run,RunSeed,RunMinDistance_DRAMPPI,RunMinDistance_DRMPPI,RunMinDistance_MPPI,RunMinDistance_RAMPPI,SafetyViolation_DRAMPPI,SafetyViolation_DRMPPI,SafetyViolation_MPPI,SafetyViolation_RAMPPI,Collision_DRAMPPI,Collision_DRMPPI,Collision_MPPI,Collision_RAMPPI,TotalQSigmaInvStageCost_DRAMPPI,TotalQSigmaInvStageCost_DRMPPI,TotalQSigmaInvStageCost_MPPI,TotalQSigmaInvStageCost_RAMPPI,RunMaxComputeTimeMs_DRAMPPI,RunMaxComputeTimeMs_DRMPPI,RunMaxComputeTimeMs_MPPI,RunMaxComputeTimeMs_RAMPPI,AllOthersCollided,DROnlyNoCollision,DRMinDistanceAdvantage
10,1802651552,0.16167698800563812,0.6216650605201721,0.24114997684955597,0.19549748301506042,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,27.54884727112949,27.270636301487684,20.52895326167345,27.61634119041264,32.33912299765507,18.8724249965162,18.070264002744807,19.304274002934108,True,True,0.38051508367061615
11,714712467,0.1359863430261612,0.6779976487159729,0.23270346224308014,0.6343008279800415,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.16113163717091,28.664074992761016,20.528875287622213,26.817859886214137,39.52591300185304,24.675567001395393,10.56825699924957,20.884287998342188,False,False,0.043696820735931396
12,1218704077,0.1811181902885437,0.5508332848548889,0.23083648085594177,0.6649136543273926,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.39235132932663,27.11248373426497,20.587340468540788,26.124285876750946,43.69958299866994,19.13004100060789,9.88629600033164,16.562736997002503,False,False,-0.11408036947250366
13,1284858263,0.1124148815870285,0.5961829423904419,0.24515290558338165,0.6465892195701599,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.72527215629816,27.9067386072129,20.563685400411487,26.77320926077664,39.994578997720964,93.36585300115985,12.450113998056622,20.28021899968735,False,False,-0.05040627717971802
14,457721135,0.6436527967453003,0.7055381536483765,0.24005411565303802,0.5697140693664551,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.936583925038576,28.421885535120964,20.57502231746912,25.883103793486953,77.94811999701778,80.185161998088,14.684637000755174,17.019423998135608,False,False,0.06188535690307617
15,401008609,0.6262009143829346,0.7014909386634827,0.2450866997241974,0.6690751314163208,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.432918548583984,27.99216154962778,20.553980700671673,26.25668004155159,45.96927999955369,18.789058998663677,11.693677999573993,15.707230999396415,False,False,0.032415807247161865
16,492064534,0.17084918916225433,0.6454855799674988,0.2410343587398529,0.6449360847473145,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.36247443035245,27.983050210401416,20.451224464923143,26.44674699380994,33.242595000047004,19.49742199940374,18.834479997167364,27.810192998003913,False,False,0.0005494952201843262
17,1444732602,0.5775755047798157,0.6497575640678406,0.23750580847263336,0.6889945864677429,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.7973155323416,27.627998964861035,20.445696860551834,26.429426981136203,45.74452800079598,19.147773000440793,9.647819999372587,17.950340999959735,False,False,-0.039237022399902344
18,1317426686,0.5298143029212952,0.6080058813095093,0.23783935606479645,0.6815585494041443,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,26.591289708390832,29.010067239403725,20.556484166532755,28.279798856005073,36.996874998294516,19.431641001574462,25.850401998468442,18.74458200109075,False,False,-0.07355266809463501
19,2022506251,0.18360649049282074,0.7172366380691528,0.24050909280776978,0.6302857398986816,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,29.48244678787887,28.40854766778648,20.407910445705056,27.85535235516727,42.69701500015799,31.22047500073677,13.606406002509175,14.967351002269424,False,False,0.08695089817047119
