Algorithm,Run,RunMinDistance,SafetyViolation,Collision,TotalQSigmaInvStageCost,RunMaxComputeTimeMs
MPPI,32,0.07349684089422226,1.0,1.0,5.60253731359262,7.876881998527097
MPPI,33,0.28413325548171997,1.0,1.0,5.850244162604213,8.178660998964915
MPPI,34,0.026465216651558876,1.0,1.0,5.466662967111915,7.367229998635594
MPPI,35,0.29436013102531433,1.0,1.0,5.730273143504746,7.530639999458799
MPPI,36,0.07473213225603104,1.0,1.0,5.345996673917398,7.2024099972622935
MPPI,37,0.06414059549570084,1.0,1.0,5.303951069130562,59.24894499912625
MPPI,38,0.12308242172002792,1.0,1.0,5.419451240450144,8.363755001482787
MPPI,39,0.10398491472005844,1.0,1.0,5.527728347107768,7.8655190009158105
MPPI,40,0.32871943712234497,1.0,1.0,5.987053642165847,28.428902001905954
MPPI,41,0.03445490822196007,1.0,1.0,5.3809138155775145,7.386397999653127
MPPI,42,0.2900439500808716,1.0,1.0,5.991164514794946,8.882657002686756
MPPI,43,0.11250842362642288,1.0,1.0,5.437575261224993,7.865339001000393
MPPI,44,0.09361152350902557,1.0,1.0,5.491170089342631,13.31402699725004
MPPI,45,0.052884455770254135,1.0,1.0,5.434522823663428,7.543380997958593
MPPI,46,0.11803941428661346,1.0,1.0,5.377530512632802,7.629514999280218
MPPI,47,0.0794455036520958,1.0,1.0,5.348706833203323,7.243995001772419
MPPI,48,0.3249334394931793,1.0,1.0,5.936661884887144,11.305309999443125
MPPI,49,0.09582997858524323,1.0,1.0,5.434614600497298,7.9823519990895875
MPPI,50,0.3160485625267029,1.0,1.0,5.803623596904799,7.56314800310065
MPPI,51,0.11371196806430817,1.0,1.0,5.394517960259691,7.575837000331376
MPPI,52,0.08083741366863251,1.0,1.0,5.378475610283203,7.429634999425616
MPPI,53,0.09840243309736252,1.0,1.0,5.362034130725078,8.731281999644125
MPPI,54,0.3442317545413971,1.0,1.0,5.994098878814839,8.236412999394815
MPPI,55,0.018329991027712822,1.0,1.0,5.424893063027412,12.421919000189519
MPPI,56,0.12177102267742157,1.0,1.0,5.519457731745206,8.067028000368737
MPPI,57,0.09371344745159149,1.0,1.0,5.375327762332745,7.529755999712506
MPPI,58,0.12575483322143555,1.0,1.0,5.489067833172157,14.66781600174727
MPPI,59,0.03168638050556183,1.0,1.0,5.531422951258719,8.252685001934879
MPPI,60,0.09922169893980026,1.0,1.0,5.392870029667392,7.32413399964571
MPPI,61,0.31655818223953247,1.0,1.0,5.777264641830698,7.814416996552609
MPPI,62,0.05357427895069122,1.0,1.0,5.500423953169957,7.470470998669043
MPPI,63,0.0821293368935585,1.0,1.0,5.460502417758107,69.95791000008467
MPPI,64,0.07882462441921234,1.0,1.0,5.32974425831344,7.215707999421284
MPPI,65,0.09894721210002899,1.0,1.0,5.373734829365276,7.664524000574602
MPPI,66,0.11270320415496826,1.0,1.0,5.379237601417117,7.283437000296544
MPPI,67,0.07194356620311737,1.0,1.0,5.287925305310637,8.443285998509964
MPPI,68,0.08248238265514374,1.0,1.0,5.358587966300547,7.421324000461027
MPPI,69,0.289630651473999,1.0,1.0,5.863554654060863,7.339797000895487
MPPI,70,0.3403925597667694,1.0,1.0,5.860260692657903,7.226336001622258
MPPI,71,0.3258216977119446,1.0,1.0,5.8652142020873725,7.705462001467822
MPPI,72,0.3016963303089142,1.0,1.0,5.77811496774666,71.77586099714972
MPPI,73,0.02556544728577137,1.0,1.0,5.428233351209201,7.400894999591401
MPPI,74,0.08670718967914581,1.0,1.0,5.347245055017993,7.259125999553362
MPPI,75,0.09429775923490524,1.0,1.0,5.339653052040376,8.000978999916697
MPPI,76,0.28290674090385437,1.0,1.0,6.043521437095478,9.89340999876731
MPPI,77,0.3079896569252014,1.0,1.0,5.705566225107759,17.17976100189844
MPPI,78,0.06101284921169281,1.0,1.0,5.383809188148007,7.85140500011039
MPPI,79,0.3345643877983093,1.0,1.0,5.7798239989206195,8.920530999603216
MPPI,80,0.0628470852971077,1.0,1.0,5.385173315764405,7.987973000126658
MPPI,81,0.031230127438902855,1.0,1.0,5.613178264466114,8.948446000431431
MPPI,82,0.09344364702701569,1.0,1.0,5.438688133726828,8.532670999557013
MPPI,83,0.1064373031258583,1.0,1.0,5.592801129445434,8.341352000570623
MPPI,84,0.10822486132383347,1.0,1.0,5.407499608700164,9.639171999879181
MPPI,85,0.025538446381688118,1.0,1.0,5.42447686183732,8.82163799906266
MPPI,86,0.29793858528137207,1.0,1.0,5.752671746886335,7.482033000997035
MPPI,87,0.10462851077318192,1.0,1.0,5.345852582831867,8.958271002484253
MPPI,88,0.09868673980236053,1.0,1.0,5.258312938618474,7.426673000736628
MPPI,89,0.08745879679918289,1.0,1.0,5.286942897597328,8.587183998315595
MPPI,90,0.3420233428478241,1.0,1.0,5.881010653451085,11.65708099870244
MPPI,91,0.08174417167901993,1.0,1.0,5.3424583920277655,8.388082998862956
MPPI,92,0.09004195034503937,1.0,1.0,5.413259546970949,9.228537001035875
MPPI,93,0.059206124395132065,1.0,1.0,5.2554812274174765,7.963236999785295
MPPI,94,0.08839897066354752,1.0,1.0,5.303604768705554,8.577087002777262
MPPI,95,0.10086973756551743,1.0,1.0,5.4061063673580065,8.353189998160815
MPPI,96,0.04525359347462654,1.0,1.0,5.378242168575525,8.033417001570342
MPPI,97,0.3202747404575348,1.0,1.0,5.885481352219358,7.415117001073668
MPPI,98,0.11415985971689224,1.0,1.0,5.418524714303203,7.2596399986650795
MPPI,99,0.32071995735168457,1.0,1.0,5.971065753488801,7.3627690035209525
RAMPPI,0,0.19467997550964355,1.0,1.0,5.931550556560978,10.518463001062628
RAMPPI,1,0.7929116487503052,0.0,0.0,5.185212264768779,11.610457997448975
RAMPPI,2,0.6844224333763123,0.0,0.0,5.590144566260278,11.29418100026669
RAMPPI,3,0.8016997575759888,0.0,0.0,5.025198095245287,11.583004001295194
RAMPPI,4,0.19948022067546844,1.0,1.0,6.0718954536132514,28.76139799991506
RAMPPI,5,1.0018994808197021,0.0,0.0,5.048920403700322,13.030625003011664
RAMPPI,6,0.25679755210876465,1.0,1.0,6.000334456097335,12.3086389976379
RAMPPI,7,0.8626503944396973,0.0,0.0,5.024522045860067,11.627021001913818
RAMPPI,8,0.13546696305274963,1.0,1.0,6.74213151994627,13.962111999717308
RAMPPI,9,0.27320191264152527,1.0,1.0,6.490459264954552,28.545216999191325
RAMPPI,10,0.31180477142333984,1.0,1.0,6.9471750309458,11.656539001705823
RAMPPI,11,0.3937799036502838,1.0,1.0,5.6606587616261095,11.467895998066524
RAMPPI,12,0.6780741810798645,0.0,0.0,5.749178301775828,11.333213002217235
RAMPPI,13,0.15969689190387726,1.0,1.0,6.861964326002635,11.097752998466603
RAMPPI,14,0.1619768738746643,1.0,1.0,6.046184646198526,11.480273999040946
RAMPPI,15,0.2916983962059021,1.0,1.0,7.221402316354215,13.525000998924952
RAMPPI,16,0.24567894637584686,1.0,1.0,7.274701014277525,11.043685000913683
RAMPPI,17,0.9759528040885925,0.0,0.0,4.770974938757718,12.844613000197569
RAMPPI,18,0.3096484839916229,1.0,1.0,6.804554720642045,10.767956999188755
RAMPPI,19,0.42977258563041687,1.0,1.0,5.95898358989507,7.051666998449946
RAMPPI,20,0.857742428779602,0.0,0.0,5.133775136666372,6.961595998291159
RAMPPI,21,0.16012628376483917,1.0,1.0,6.006629619281739,7.5344760007283185
RAMPPI,22,0.1917923241853714,1.0,1.0,5.7975745112635195,7.111003997124499
RAMPPI,23,0.33524656295776367,1.0,1.0,6.483650253387168,8.090054998319829
RAMPPI,24,0.2674669325351715,1.0,1.0,7.6059684050269425,8.03125500169699
RAMPPI,25,0.8243660926818848,0.0,0.0,5.006158481119201,7.321045999560738
RAMPPI,26,0.8812914490699768,0.0,0.0,5.073426868999377,7.281018999492517
RAMPPI,27,0.7081483602523804,0.0,0.0,5.5470425565727055,8.039891999942483
RAMPPI,28,0.311642050743103,1.0,1.0,6.288307318580337,7.046282000374049
RAMPPI,29,0.7244998812675476,0.0,0.0,5.256373887415975,7.088998001563596
RAMPPI,30,0.247648224234581,1.0,1.0,6.068046704633161,6.945897999685258
RAMPPI,31,0.8886021375656128,0.0,0.0,5.108400858007371,7.296079998923233
RAMPPI,32,1.1434746980667114,0.0,0.0,4.695026031695306,72.76336299764807
RAMPPI,33,0.007354992441833019,1.0,1.0,6.4554037428461015,7.23602699872572
RAMPPI,34,0.7000532746315002,0.0,0.0,5.258146247826517,7.518173999415012
RAMPPI,35,0.8028143644332886,0.0,0.0,5.064998257206753,11.81110299876309
RAMPPI,36,0.24053774774074554,1.0,1.0,5.868231372209266,67.88761500138207
RAMPPI,37,0.9433399438858032,0.0,0.0,4.993120727362111,7.482992001314415
RAMPPI,38,1.0242228507995605,0.0,0.0,4.74693741905503,7.800446001056116
RAMPPI,39,0.8016334772109985,0.0,0.0,5.310424672439694,6.866259998787427
RAMPPI,40,0.21808695793151855,1.0,1.0,5.878915019100532,8.160807999956887
RAMPPI,41,0.19602863490581512,1.0,1.0,5.981766928220168,7.643982000445249
RAMPPI,42,0.8040666580200195,0.0,0.0,5.394208841025829,7.750124997983221
RAMPPI,43,0.13038533926010132,1.0,1.0,6.351452382397838,7.183206002082443
RAMPPI,44,0.21362772583961487,1.0,1.0,5.842825474217534,6.957678000617307
RAMPPI,45,0.21428340673446655,1.0,1.0,5.830401039216667,8.509657000104198
RAMPPI,46,0.7524264454841614,0.0,0.0,5.037083150586113,7.982152001204668
RAMPPI,47,0.18964703381061554,1.0,1.0,5.847788882441819,7.512395997764543
RAMPPI,48,0.17393039166927338,1.0,1.0,6.738692669547163,11.860995000461116
RAMPPI,49,1.0594514608383179,0.0,0.0,4.82298397179693,7.153774000471458
RAMPPI,50,0.21770234405994415,1.0,1.0,6.207876927219331,8.185055998183088
RAMPPI,51,0.8282789587974548,0.0,0.0,5.1624103609938174,7.138195000152336
RAMPPI,52,0.18661315739154816,1.0,1.0,5.987286933232099,7.02109000121709
RAMPPI,53,0.18880951404571533,1.0,1.0,5.780129403108731,8.299298002384603
RAMPPI,54,1.1348929405212402,0.0,0.0,4.7433842092286795,6.895133999933023
RAMPPI,55,0.9441918134689331,0.0,0.0,4.9627465680241585,7.73814900094294
RAMPPI,56,0.8903951644897461,0.0,0.0,5.011645279591903,7.774363999487832
RAMPPI,57,0.1601753979921341,1.0,1.0,6.2386775619816035,11.600413999985904
RAMPPI,58,0.2561468482017517,1.0,1.0,6.5141526001971215,7.0592669981124345
RAMPPI,59,0.07444152235984802,1.0,1.0,6.216245137504302,7.471185999747831
RAMPPI,60,0.21670664846897125,1.0,1.0,6.052912755170837,7.071790998452343
RAMPPI,61,0.1815023571252823,1.0,1.0,6.826882792869583,7.9407830016862135
RAMPPI,62,0.21892741322517395,1.0,1.0,6.1804564809426665,66.08223000148428
RAMPPI,63,0.20676465332508087,1.0,1.0,6.0265034874901175,7.20115900185192
RAMPPI,64,0.3054894506931305,1.0,1.0,6.349074097000994,6.9002620002720505
RAMPPI,65,0.1764693707227707,1.0,1.0,6.071685683447868,7.15417600076762
RAMPPI,66,0.7332305312156677,0.0,0.0,5.4850913202390075,6.833821000327589
