epsilon,Run,Seed,RunMinDistance,SafetyViolation,Collision,RunMaxComputeTimeMs
0.001,0,1501552845,0.0798971326271299,1.0,1.0,250.4218550020596
0.001,1,488200390,0.08105479938270425,0.0,0.0,107.70775499986485
0.001,2,1693606510,0.08748961904066604,0.0,0.0,108.4345329873031
0.001,3,680233354,0.08113202857124581,0.0,0.0,114.25162000523414
0.001,4,438466540,0.07638653779079692,1.0,1.0,138.85971999843605
0.001,5,1712329280,0.08545259485285098,0.0,0.0,130.63194901042152
0.001,6,1380152455,0.08193125887341121,0.0,0.0,129.9819019914139
0.001,7,1452245846,0.08050266309211848,0.0,0.0,127.46262300061062
0.001,8,2122694021,0.08375709850285785,0.0,0.0,121.66001499281265
0.001,9,839901363,0.07740787888909753,1.0,1.0,127.29935100651346
0.001,10,1802651552,0.07545033248068928,1.0,1.0,130.0057219923474
0.001,11,714712467,0.08807398853455702,0.0,0.0,122.63217799772974
0.001,12,1218704077,0.08667641576774608,0.0,0.0,130.0913149898406
0.001,13,1284858263,0.08101364993207116,0.0,0.0,110.4150859900983
0.001,14,457721135,0.0712188571162396,1.0,1.0,125.69583900040016
0.001,15,401008609,0.07866915307970541,1.0,1.0,150.206022997736
0.001,16,492064534,0.08230988129572037,0.0,0.0,132.74166100018192
0.001,17,1444732602,0.0879662661940973,0.0,0.0,134.7846610005945
0.001,18,1317426686,0.07499154733128827,1.0,1.0,123.93404101021588
0.001,19,2022506251,0.08562878465691115,0.0,0.0,122.82976199639961
0.001,20,1516459118,0.08322451742502576,0.0,0.0,131.02080300450325
0.001,21,533103612,0.07910772461813904,1.0,1.0,119.76394501107279
0.001,22,1964759878,0.08041295092665185,0.0,0.0,131.20088599680457
0.001,23,2037706756,0.08210644189786802,0.0,0.0,123.66003298666328
0.001,24,1572889065,0.08723282889615235,0.0,0.0,117.00652999570593
0.001,25,1432881518,0.08239691741660003,0.0,0.0,134.61014100175817
0.001,26,280516901,0.0831104593586564,0.0,0.0,124.88083400239702
0.001,27,205939248,0.0835650017812494,0.0,0.0,117.14174000371713
0.001,28,571904914,0.08427797597520119,0.0,0.0,132.05808099883143
0.001,29,948843457,0.07836776969390583,1.0,1.0,128.28098500904161
0.001,30,155492488,0.08395256072377331,0.0,0.0,127.88499800080899
0.001,31,1903701130,0.07474324743447897,1.0,1.0,131.1210440035211
0.001,32,1017961266,0.0845197410813525,0.0,0.0,131.7847019963665
0.001,33,1497769985,0.08216697043818494,0.0,0.0,129.89239700254984
0.001,34,456523489,0.08114039050668828,0.0,0.0,126.63953800802119
0.001,35,701095136,0.08482968131692599,0.0,0.0,130.73782599531114
0.001,36,249069576,0.08258641122789122,0.0,0.0,131.70144900504965
0.001,37,1576098728,0.07976228327904947,1.0,1.0,124.79982699733227
0.001,38,1662748500,0.08088856986093657,0.0,0.0,120.53294600627851
0.001,39,472736216,0.08188826200798184,0.0,0.0,129.2621379980119
0.001,40,1535411295,0.08100643256235068,0.0,0.0,109.12870700121857
0.001,41,175223003,0.07832456899677682,1.0,1.0,128.9689170080237
0.001,42,840936862,0.07982230442951257,1.0,1.0,118.56139099108987
0.001,43,343373188,0.08319096282183112,0.0,0.0,132.43163500737865
0.001,44,1597751082,0.08414998645653399,0.0,0.0,123.65070800296962
0.001,45,730359585,0.0804657918923056,0.0,0.0,128.98930700612254
0.001,46,1016641002,0.08381330752847871,0.0,0.0,128.87337899883278
0.001,47,998994690,0.08803594613965428,0.0,0.0,140.9309649898205
0.001,48,1021240743,0.08188319363851237,0.0,0.0,119.74240800191183
0.001,49,572134801,0.08597476480216036,0.0,0.0,121.27701898862142
0.001,50,1198399760,0.08305484810604866,0.0,0.0,119.84939700050745
0.001,51,1751866485,0.07254708547904994,1.0,1.0,139.48825999977998
0.001,52,1070889713,0.07563177570433466,1.0,1.0,125.97001400718
0.001,53,415096539,0.07892535415196435,1.0,1.0,128.3929579949472
0.001,54,52416235,0.0786848364143887,1.0,1.0,128.82587300555315
0.001,55,278032723,0.08137536836822203,0.0,0.0,133.58997700561304
0.001,56,174946158,0.07939911922774073,1.0,1.0,126.27575299120508
0.001,57,196848554,0.08205738419832094,0.0,0.0,121.9944199983729
0.001,58,263030910,0.08437009721316859,0.0,0.0,127.25673899694812
0.001,59,1285415020,0.08043560790255824,0.0,0.0,126.09196300036274
0.001,60,1733223444,0.08174998144815206,0.0,0.0,128.4232960024383
0.001,61,1835544261,0.07957869680134674,1.0,1.0,130.95001100737136
0.001,62,1403186970,0.07908459865241771,1.0,1.0,127.24469800014049
0.001,63,1291971777,0.07599930056162434,1.0,1.0,131.1523229960585
0.001,64,712292067,0.08153981296836663,0.0,0.0,127.99651599198114
0.001,65,2001429764,0.08002117018867212,0.0,0.0,128.22326600144152
0.001,66,1375664061,0.08104900528748771,0.0,0.0,126.3870419934392
0.001,67,1556456120,0.0842301605348005,0.0,0.0,117.86607299291063
0.001,68,1576053187,0.08294772752231666,0.0,0.0,129.598622006597
0.001,69,1848019881,0.07999056452869355,1.0,1.0,122.52306500158738
0.001,70,1508652585,0.08319990994251955,0.0,0.0,131.58802699763328
0.001,71,1995737731,0.08271510765739014,0.0,0.0,127.7066820039181
0.001,72,1162788447,0.07798724255357224,1.0,1.0,122.86300999403466
0.001,73,1172925522,0.08238637815047344,0.0,0.0,128.2216670078924
0.001,74,539174575,0.08105941625625371,0.0,0.0,130.73577400064096
0.001,75,2013637345,0.08213357976153232,0.0,0.0,130.72206199285574
0.001,76,1187468716,0.0825547773603808,0.0,0.0,125.31142000807449
0.001,77,1062978506,0.08098619348181134,0.0,0.0,120.1929380040383
0.001,78,679326770,0.07558660295045734,1.0,1.0,132.26409199705813
0.001,79,587923432,0.07693163756211535,1.0,1.0,127.3627289920114
0.001,80,1359889667,0.0828516934615642,0.0,0.0,129.6800560085103
0.001,81,970187386,0.08375463214992294,0.0,0.0,127.67865900241304
0.001,82,1219839873,0.08065682459577568,0.0,0.0,131.94616699183825
0.001,83,1428160212,0.08366328790838627,0.0,0.0,130.63695401069708
0.001,84,1930609499,0.07985447042507449,1.0,1.0,130.61186899722088
0.001,85,710582861,0.08590203711665967,0.0,0.0,126.99271801102441
0.001,86,1463614337,0.0847467899442475,0.0,0.0,125.49262700485997
0.001,87,1940152705,0.07984008994751532,1.0,1.0,132.04394599597435
0.001,88,985452196,0.08356730838733893,0.0,0.0,123.81215200002771
0.001,89,552062587,0.07845043272307521,1.0,1.0,127.27848200302105
0.001,90,623566272,0.08819653750895257,0.0,0.0,134.63718800630886
0.001,91,729775797,0.0834704047650354,0.0,0.0,128.4680050011957
0.001,92,1352536665,0.0821343806073325,0.0,0.0,129.98455099295825
0.001,93,555883440,0.07457167040609022,1.0,1.0,131.23704999452457
0.001,94,1801800003,0.07940649722693657,1.0,1.0,128.64089000504464
0.001,95,763315502,0.08856939775827434,0.0,0.0,120.2237820107257
0.001,96,138897982,0.08116762830898756,0.0,0.0,127.56954900396522
0.001,97,10785379,0.07792187021408392,1.0,1.0,129.89893699705135
0.001,98,53923185,0.07251167271830632,1.0,1.0,122.13773900293745
0.001,99,1349917978,0.07747185698648745,1.0,1.0,116.34576199867297
0.002,0,1501552845,0.08963357505496551,0.0,0.0,217.5151370029198
0.002,1,488200390,0.07936772094330526,1.0,1.0,107.86369300330989
0.002,2,1693606510,0.08415549644764077,0.0,0.0,108.34187699947506
0.002,3,680233354,0.08801151871534933,0.0,0.0,133.30980400496628
0.002,4,438466540,0.0795646812930368,1.0,1.0,128.88023399864323
0.002,5,1712329280,0.07882586679537534,1.0,1.0,130.9547620039666
0.002,6,1380152455,0.08153068869536513,0.0,0.0,128.138094994938
0.002,7,1452245846,0.08833868005061499,0.0,0.0,126.47970799298491
0.002,8,2122694021,0.0847064091520471,0.0,0.0,126.57507300900761
0.002,9,839901363,0.08700011751206248,0.0,0.0,128.5451110015856
