epsilon,collision_prob,collision_free_prob,safety_violation_prob,run_min_distance_min,run_min_distance_mean,run_min_distance_std,run_max_compute_time_ms_mean,run_max_compute_time_ms_std
0.1,0.54,0.45999999999999996,0.54,0.45745088657996613,0.6859164688905902,0.11064375727569627,380.9794318175409,81.34717724439014
0.095,0.53,0.47,0.53,0.3105634740184612,0.6891773839585029,0.11952663769820338,382.98970240633935,86.10283845885651
0.115,0.66,0.33999999999999997,0.66,0.5162948620094665,0.6664399590032195,0.10379563992658587,388.3334948925767,82.57620880557572
0.145,0.59,0.41000000000000003,0.59,0.48263241692583725,0.6743423048863376,0.09965656828445496,361.28517461940646,101.16377964939733
0.135,0.68,0.31999999999999995,0.68,0.4574829622115757,0.6622070486147655,0.09753298363710945,392.5836018391419,79.83838569493551
0.13,0.64,0.36,0.64,0.5054529725245804,0.6778319968471006,0.09632039129275564,388.36387926363386,82.00319380874994
0.14,0.66,0.33999999999999997,0.66,0.482494820275029,0.668651143195191,0.09975745710773787,393.29962051007897,71.2191631470542
0.125,0.7,0.30000000000000004,0.7,0.4336735281816592,0.6495943219670138,0.09697983335426472,390.65213460242376,85.29207519683247
0.11,0.61,0.39,0.61,0.4883060401747373,0.6680035103820054,0.11211196382362695,384.24136176123284,88.06097676917916
0.09,0.47,0.53,0.47,0.48100862351917556,0.7027682497979778,0.12309199512790132,418.61744928057306,59.74331340022825
0.15,0.54,0.45999999999999996,0.54,0.5222930984104945,0.689160929497191,0.10256973855547197,369.3271286704112,95.87117965305616
0.155,0.63,0.37,0.63,0.5098905582517316,0.6775289973376138,0.09585123184982929,368.25443308101967,97.47269400555606
0.165,0.58,0.42000000000000004,0.58,0.5198393914539761,0.6855342719565846,0.10051871090758888,364.4672075402923,95.06085654954613
0.16,0.62,0.38,0.62,0.4563185632797044,0.6800164984836203,0.10225099251937186,367.6875367271714,92.89949809931412
0.18,0.52,0.48,0.52,0.4920938731140087,0.6947063412113266,0.10294058210158104,384.6736644930206,77.53439042506257
0.19,0.5,0.5,0.5,0.5229559344668482,0.703885242622983,0.1038542521523467,387.2555929853115,77.40082972940507
0.175,0.55,0.44999999999999996,0.55,0.4819653403595725,0.691210397573501,0.10422541107381134,377.2177557286341,93.13678267060378
0.21,0.27,0.73,0.27,0.43304671394495486,0.752588263501781,0.10345214039607502,385.73736382997595,75.70096152391108
0.195,0.35,0.65,0.35,0.3899429873049831,0.73746012916892,0.11483150508450313,382.28774768067524,86.98817138548813
0.185,0.47,0.53,0.47,0.4408186753795284,0.7100401280192584,0.10196013681920037,408.3232324151322,54.28848638055397
0.17,0.54,0.45999999999999996,0.54,0.4949791585677743,0.6991510915702885,0.10084668544703287,389.9025706970133,81.09026014918308
0.2,0.28,0.72,0.28,0.5307999958152294,0.7547976378279396,0.09943907199616055,383.7138076336123,85.4990851466753
0.205,0.27,0.73,0.27,0.5145330390155404,0.7553046610796035,0.09773612907120602,395.75721453060396,72.57439063119293
0.215,0.2,0.8,0.2,0.4600645462368556,0.7564658923950831,0.09798188397559428,387.8779508883599,81.83379675240111
0.22,0.19,0.81,0.19,0.35390133374827487,0.7495203602432307,0.1127021528895383,363.7190144043416,94.21480128322192
0.225,0.17,0.83,0.17,0.39507029770375585,0.7519003492172851,0.11344110377785767,389.250263820868,76.73751269345088
0.23,0.18,0.8200000000000001,0.18,0.3898419090721157,0.7562358388499922,0.11085861150579278,391.08643585350364,79.27115915924084
0.245,0.14,0.86,0.14,0.30329217319025475,0.7314856459348159,0.1378909727530296,390.1510390511248,81.5343655571425
0.25,0.14,0.86,0.14,0.2030115398923024,0.7428004439396654,0.1429813162869035,345.9865435946267,107.95592406778614
0.255,0.13,0.87,0.13,0.37091666082073904,0.7410291366696646,0.12443587265040164,391.7853533930611,80.66872275162864
0.235,0.13,0.87,0.13,0.5221627192161711,0.7670946085169743,0.09347130652398786,403.0049046280328,73.38280445076028
0.27,0.11,0.89,0.11,0.1068296802891755,0.7248324553653621,0.17162518488067988,373.6812815605663,89.15062481431042
0.28,0.12,0.88,0.12,0.24055884499251487,0.7317172037760834,0.13364504745097003,362.831139897462,98.15988517547031
0.24,0.13,0.87,0.13,0.2797095985894277,0.7611320565517375,0.11474697292488974,396.3919516967144,72.10352518999159
0.26,0.1,0.9,0.1,0.3458897105867789,0.7356554509901464,0.1325251975361438,389.40164546482265,77.98842315677697
0.265,0.12,0.88,0.12,0.2491641589287718,0.7188326752323688,0.1482300583925169,414.1459347575437,45.70646554555822
0.285,0.14,0.86,0.14,0.3208279870132791,0.7162359632888038,0.15054462975460786,365.1654809701722,100.67480388866024
