epsilon,collision_prob,collision_free_prob,safety_violation_prob,run_min_distance_min,run_min_distance_mean,run_min_distance_std,total_qr_cost_mean,total_qr_cost_std,run_max_compute_time_ms_mean,run_max_compute_time_ms_std
0.0,0.62,0.38,0.62,-0.30000001192092896,-0.04196672790218145,0.09020466997322703,7.10338516458869,0.4395407170002441,47.61184475850314,2.324992493660938
0.001,0.62,0.38,0.62,-0.30000001192092896,-0.032377752044924366,0.08276452808551038,7.063228590860962,0.42378962532481634,47.454657529015094,1.8291797157732264
0.002,0.64,0.36,0.64,-0.30000001192092896,-0.037586645473274984,0.0851884003198956,7.073918019215344,0.4689174776378661,47.1156708127819,1.60403584823836
0.003,0.65,0.35,0.65,-0.29368212819099426,-0.02844540155143477,0.07247732053920741,7.043242062674835,0.43429290216125915,47.64830706408247,1.5453310357956103
0.004,0.62,0.38,0.62,-0.30000001192092896,-0.029314441340975463,0.08064539126620932,7.035827168097021,0.4496338748880516,47.58226777194068,1.0510999231258968
0.005,0.63,0.37,0.63,-0.30000001192092896,-0.023129919852362946,0.07358618137981379,7.0632862746552565,0.46055339654509925,47.78833922930062,1.5014586012697553
0.006,0.61,0.39,0.61,-0.30000001192092896,-0.009532924755476416,0.06605050168854669,7.007180093904026,0.4009864773111088,48.46715824911371,2.344174224002492
0.007,0.59,0.41000000000000003,0.59,-0.2344011664390564,-0.010611287825740874,0.06407693678890797,6.965798569018952,0.42376540525679873,47.65614278847352,1.8324911398492465
0.008,0.52,0.48,0.52,-0.23262886703014374,-0.0041468924982473255,0.059871217665118624,6.949074878989486,0.44160329543877824,47.71864880807698,1.8739245283780785
0.009,0.63,0.37,0.63,-0.28697872161865234,-0.017426972594694234,0.059596863757920046,7.028605186153436,0.49075382640355797,47.885838916990906,2.234074462555869
0.01,0.52,0.48,0.52,-0.09830200672149658,0.0006053782106209837,0.05607995646863776,7.051789467448835,0.48932663317381797,47.42443329188973,1.3879857803953048
0.011,0.48,0.52,0.48,-0.1446676403284073,-0.0018537916339118965,0.05094438190502314,7.079519611842698,0.4539210959197256,47.47281620744616,1.648404461193528
0.012,0.55,0.44999999999999996,0.55,-0.30000001192092896,-0.011062530840281398,0.06955740912967909,7.144341542446054,0.4892619343971621,46.508560525253415,1.6973080595743741
0.013,0.59,0.41000000000000003,0.59,-0.14684665203094482,-0.007526510033858358,0.05417400704190469,7.110763864960754,0.47324273778448445,47.32406430877745,2.553756752980933
0.014,0.54,0.45999999999999996,0.54,-0.30000001192092896,-0.017938662687411126,0.06298037336774395,7.1194752066978255,0.4649331729800361,46.61078818142414,1.0539792124405791
0.015,0.55,0.44999999999999996,0.55,-0.15660631656646729,-0.011613001718651504,0.055029129124120495,7.123595285771881,0.4747209844667914,46.65541649563238,1.3626155670237403
