epsilon,Run,Seed,RunMinDistance,SafetyViolation,Collision,TotalQRCost,RunMaxComputeTimeMs
0.0,40,1535411295,0.021091876551508904,0.0,0.0,6.751850230735727,46.39088804833591
0.0,41,175223003,0.011825066059827805,0.0,0.0,6.960266709211282,46.41492711380124
0.0,42,840936862,-0.10849407315254211,1.0,1.0,7.560893035843037,47.00610414147377
0.0,43,343373188,0.0800957903265953,0.0,0.0,6.656378581770696,47.80536098405719
0.0,44,1597751082,-0.08311190456151962,1.0,1.0,7.130036519258283,47.63495596125722
0.0,45,730359585,-0.11070852726697922,1.0,1.0,7.707568509620614,46.73722409643233
0.0,46,1016641002,-0.12621808052062988,1.0,1.0,7.397022776771337,47.00098582543433
0.0,47,998994690,0.05621715262532234,0.0,0.0,6.721188390976749,46.48481705226004
0.0,48,1021240743,0.045931607484817505,0.0,0.0,7.007868796936236,46.663167886435986
0.0,49,572134801,-0.09608199447393417,1.0,1.0,6.863445584778674,47.04047692939639
0.0,50,1198399760,-0.30000001192092896,1.0,1.0,8.47921902895905,47.985415207222104
0.0,51,1751866485,-0.10528935492038727,1.0,1.0,7.443586158682592,46.16599902510643
0.0,52,1070889713,-0.10624845325946808,1.0,1.0,7.374320256873034,46.02198791690171
0.0,53,415096539,0.028280075639486313,0.0,0.0,6.780435471097007,48.76706190407276
0.0,54,52416235,-0.12316815555095673,1.0,1.0,7.286132932174951,45.31785403378308
0.0,55,278032723,-0.0681576058268547,1.0,1.0,6.7563037005020306,44.94213405996561
0.0,56,174946158,-0.11572877317667007,1.0,1.0,7.870035915519111,46.18508601561189
0.0,57,196848554,0.12345226109027863,0.0,0.0,6.7664827378466725,46.01941583678126
0.0,58,263030910,-0.02447962947189808,1.0,1.0,6.658087117597461,45.32430204562843
0.0,59,1285415020,0.08532463759183884,0.0,0.0,6.5808036213275045,47.24881681613624
0.0,60,1733223444,-0.0878010243177414,1.0,1.0,7.581025982508436,45.11308507062495
0.0,61,1835544261,-0.04655664041638374,1.0,1.0,6.757015784154646,45.56694417260587
