Algorithm,Method,SourceFile,Run,Seed,SimSteps,Dt,ObsUpdateSteps,RunMinDistance,SafetyViolation,Collision,FirstCollisionStep,CollisionSteps,RunMaxComputeTimeMs,RunMeanComputeTimeMs,WallTimeS,TotalControlEffort,TotalFullCost,TerminalFullCost,TotalQRStageCost,TotalQSigmaInvStageCost,MovingCollisionRadius,MovingSafeRadius,DroneRadius,DrEpsCvar,CvarAlpha,CvarN,RiskCostA,RiskCostCu,SigmaCp,Nmc,OmegaSoft,OmegaHard
MPPI,mppi,mppi_crazyflie.py,10,1535411295,700,0.02,15,0.021760765281899526,1.0,1.0,34,59,42.4470939906314,38.528146405754214,27.219091468025,58.11171758622313,4803.130266423815,0.08903071176465226,4803.130266423815,4803.130266423815,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,10,175223003,700,0.02,15,0.08071260703408688,0.0,0.0,-1,0,51.305085013154894,46.544820229922024,32.94458804297028,62.05464723309397,1503.7007731894462,0.17846624657108898,1503.7007731894462,1503.7007731894462,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,10,840936862,700,0.02,15,0.09354756072324387,0.0,0.0,-1,0,50.759224977809936,42.90093111714149,30.397016728005838,63.370358063470135,17907.458161489158,0.9854554873905582,17907.458161489158,17907.458161489158,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,10,343373188,700,0.02,15,0.08688709957165522,0.0,0.0,-1,0,46.79461201885715,42.64506410424864,30.21842926600948,67.58760674207142,1436.3151033164359,0.15720374520694427,1436.3151033164359,1436.3151033164359,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,11,1597751082,700,0.02,15,0.007175811097012304,1.0,1.0,33,61,43.03564800648019,38.51473009787566,27.205723555001896,58.48149890226004,5404.939837384071,0.08244239518468752,5404.939837384071,5404.939837384071,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,11,730359585,700,0.02,15,0.07888248931681964,1.0,1.0,484,2,50.50470202695578,47.072759007902015,33.31149684195407,62.859992328001674,1656.384320467015,0.1700698367108053,1656.384320467015,1656.384320467015,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,11,1016641002,700,0.02,15,0.09946487732173101,0.0,0.0,-1,0,49.90973498206586,42.138812317862175,29.864528751000762,64.97867573328094,14582.372057900107,0.9604276809134956,14582.372057900107,14582.372057900107,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,11,998994690,700,0.02,15,0.084097577649071,0.0,0.0,-1,0,46.905422990676016,42.458296283231384,30.092460778017994,66.92517612401153,59412.55420436019,0.14459079471444902,59412.55420436019,59412.55420436019,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,12,1021240743,700,0.02,15,0.014766400025068176,1.0,1.0,33,55,42.41394001292065,38.49295265906091,27.191052982001565,58.57206377855274,4850.183157372495,0.07877997130241779,4850.183157372495,4850.183157372495,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,12,572134801,700,0.02,15,0.08507360036056777,0.0,0.0,-1,0,45.78393802512437,41.6722065803229,29.53658298397204,61.53820445136827,1319.6899094200342,0.27923924274603873,1319.6899094200342,1319.6899094200342,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,12,1198399760,700,0.02,15,0.09090582307023481,0.0,0.0,-1,0,46.30419099703431,40.84514297669687,28.958144068019465,65.14422741200909,18866.596389895127,0.7611670016849412,18866.596389895127,18866.596389895127,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,12,1751866485,700,0.02,15,0.08034565952084739,0.0,0.0,-1,0,42.34375199303031,38.49041480828809,27.3113593350281,67.69118862833386,4611.58126625797,0.1512573154551651,4611.58126625797,4611.58126625797,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,13,1070889713,700,0.02,15,0.013953788195496392,1.0,1.0,34,58,38.12720096902922,34.29587123100646,24.252965087012853,58.87286710020434,4966.74300842168,0.11074487675135708,4966.74300842168,4966.74300842168,0.08,0.08,0.04,,,,,,,,,
