Algorithm,Runs,RunMinDistance_Min,RunMinDistance_Mean,RunMinDistance_Std,SafetyViolation_Prob,Collision_Prob,TotalFullCost_Mean,TotalFullCost_Std,TotalQRStageCost_Mean,TotalQRStageCost_Std,TotalQSigmaInvStageCost_Mean,TotalQSigmaInvStageCost_Std,RunMaxComputeTimeMs_Max,RunMaxComputeTimeMs_Mean,RunMaxComputeTimeMs_Std,RunMeanComputeTimeMs_Mean,WallTimeS_Mean
MPPI,100,0.003455883769091965,0.013007458950313385,0.005360661387528968,1.0,1.0,5370.092524224657,897.955762890175,5370.092524224657,897.955762890175,5370.092524224657,897.955762890175,204.65658599277958,54.5798748312518,23.09961354095842,43.21682929950267,30.506105396879722
RAMPPI,100,0.05821635405178574,0.0790662116703728,0.00640867262005378,0.47,0.47,1626.5329575314277,458.69323263358393,1626.5329575314277,458.69323263358393,1626.5329575314277,458.69323263358393,130.4569260100834,59.64456173358485,20.158363192995914,46.369590698940954,32.839568862507
DRMPPI,100,0.07746649665118115,0.09443423008838675,0.004340686729064258,0.01,0.01,17788.90989810195,2154.6744229364303,17788.90989810195,2154.6744229364303,17788.90989810195,2154.6744229364303,109.47441298048943,58.080332299578004,16.230579704093433,46.22171647169161,32.73580122852756
DRAMPPI,100,0.06848796768971335,0.08307773318547622,0.005470713354319333,0.28,0.28,13723.671749894458,12708.34811913316,13723.671749894458,12708.34811913316,13723.671749894458,12708.34811913316,129.20882395701483,59.01303861930501,16.39347267760875,46.50157340825868,32.932878553532646
