epsilon,collision_prob,collision_free_prob,safety_violation_prob,run_min_distance_min,run_min_distance_mean,run_min_distance_std,run_max_compute_time_ms_mean,run_max_compute_time_ms_std
0.0,1.0,0.0,1.0,0.05653779538317816,0.06986311107206147,0.004150592451932108,67.88215481006773,17.614071531666365
0.004,0.05,0.95,0.05,0.07385775217390854,0.08924527935690257,0.00451184004969754,68.23926782992203,19.675233356635378
0.002,0.22,0.78,0.22,0.07428991574796358,0.08331202409159374,0.00407579695941254,68.22410294043948,19.1049027991704
0.001,0.77,0.22999999999999998,0.77,0.0640066335975993,0.07693657856039506,0.004086929784189355,68.46694010979263,19.73459722593789
0.003,0.03,0.97,0.03,0.07649770171590618,0.08769432360207728,0.003935877275357911,68.58011776028434,21.324754789995996
