epsilon,Run,Seed,RunMinDistance,SafetyViolation,Collision,RunMaxComputeTimeMs
0.002,53,415096539,0.08641103755444822,0.0,0.0,197.7907550171949
0.002,54,52416235,0.09066135871757512,0.0,0.0,239.97877503279597
0.002,55,278032723,0.08179531335567829,0.0,0.0,239.99445198569447
0.002,56,174946158,0.08712253215034936,0.0,0.0,197.024232998956
0.002,57,196848554,0.07852262536307948,1.0,1.0,240.04689295543358
0.002,58,263030910,0.07203044600006818,1.0,1.0,236.36999301379547
0.002,59,1285415020,0.09337868022886027,0.0,0.0,157.51064097275957
0.002,60,1733223444,0.07623092325870749,1.0,1.0,248.53259598603472
0.002,61,1835544261,0.08902059894742469,0.0,0.0,233.95950603298843
0.002,62,1403186970,0.09140796677955336,0.0,0.0,157.51966700190678
0.002,63,1291971777,0.0850445738401918,0.0,0.0,222.61210501892492
0.002,64,712292067,0.08739339568363824,0.0,0.0,241.3446749560535
0.002,65,2001429764,0.08422393863611996,0.0,0.0,198.07930395472795
0.002,66,1375664061,0.08849531134395755,0.0,0.0,241.8799430015497
0.002,67,1556456120,0.08835855796504175,0.0,0.0,237.7791580511257
0.002,68,1576053187,0.08112472979541915,0.0,0.0,199.0192929515615
0.002,69,1848019881,0.08583901195600736,0.0,0.0,248.3664460014552
0.002,70,1508652585,0.07664166163845339,1.0,1.0,228.0487300013192
0.002,71,1995737731,0.09158338297253392,0.0,0.0,232.62801399687305
0.002,72,1162788447,0.08516267584958444,0.0,0.0,210.40977002121508
0.002,73,1172925522,0.08873259434308212,0.0,0.0,238.89652302023023
0.002,74,539174575,0.08423480964105987,0.0,0.0,218.0451070307754
0.002,75,2013637345,0.07982069406189389,1.0,1.0,157.7102540177293
0.002,76,1187468716,0.09076351125448691,0.0,0.0,244.6294700494036
0.002,77,1062978506,0.08560413105932779,0.0,0.0,234.98079599812627
0.002,78,679326770,0.08467707293901969,0.0,0.0,195.60716103296727
0.002,79,587923432,0.08404284466572817,0.0,0.0,223.31336804199964
0.002,80,1359889667,0.09081342014875404,0.0,0.0,237.54623002605513
0.002,81,970187386,0.08006216742115259,0.0,0.0,224.95909500867128
0.002,82,1219839873,0.08533325016933867,0.0,0.0,157.48300799168646
0.002,83,1428160212,0.08530091512325946,0.0,0.0,236.1349330167286
0.002,84,1930609499,0.09211622298904838,0.0,0.0,243.35337796946988
0.002,85,710582861,0.08488286432046564,0.0,0.0,198.1042409897782
0.002,86,1463614337,0.08335734689113593,0.0,0.0,232.10358899086714
0.002,87,1940152705,0.08070786430259401,0.0,0.0,242.47701099375263
0.002,88,985452196,0.08738187449129729,0.0,0.0,235.3316679946147
0.002,89,552062587,0.08533016573433022,0.0,0.0,157.46555401710793
0.002,90,623566272,0.08081605906754849,0.0,0.0,214.79550300864503
0.002,91,729775797,0.09056032049082764,0.0,0.0,239.9252960458398
0.002,92,1352536665,0.08325538650482407,0.0,0.0,238.47547196783125
0.002,93,555883440,0.09055001946240186,0.0,0.0,220.03225004300475
0.002,94,1801800003,0.07658498434860449,1.0,1.0,223.90476299915463
0.002,95,763315502,0.08416181397444564,0.0,0.0,241.0240129684098
0.002,96,138897982,0.08683869221007136,0.0,0.0,224.17616797611117
0.002,97,10785379,0.07890563458279845,1.0,1.0,217.0774749829434
0.002,98,53923185,0.08004949991177973,0.0,0.0,233.30025398172438
0.002,99,1349917978,0.07985570918722835,1.0,1.0,236.2868159543723
0.0,0,1501552845,0.06561306995071242,1.0,1.0,277.71440404467285
0.0,1,488200390,0.07127972214943808,1.0,1.0,171.13865894498304
0.0,2,1693606510,0.06717510124305465,1.0,1.0,172.28897800669074
0.0,3,680233354,0.0708651263536997,1.0,1.0,174.03083998942748
0.0,4,438466540,0.07061134513751846,1.0,1.0,174.95858599431813
0.0,5,1712329280,0.07421404126333435,1.0,1.0,172.21935698762536
0.0,6,1380152455,0.07191750424302847,1.0,1.0,174.95225695893168
0.0,7,1452245846,0.07588335148395331,1.0,1.0,174.92743994807824
0.0,8,2122694021,0.07569104892699942,1.0,1.0,175.854524015449
0.0,9,839901363,0.07211546207388683,1.0,1.0,175.03573204157874
0.0,10,1802651552,0.07665383877244941,1.0,1.0,174.24974800087512
0.0,11,714712467,0.07061255773137502,1.0,1.0,175.79959303839132
0.0,12,1218704077,0.06460243307298506,1.0,1.0,175.62543699750677
0.0,13,1284858263,0.07153843892781461,1.0,1.0,174.60157995810732
0.0,14,457721135,0.06995739542399206,1.0,1.0,174.75207604002208
0.0,15,401008609,0.06871101561853636,1.0,1.0,174.22491597244516
0.0,16,492064534,0.06928560791841391,1.0,1.0,173.63350797677413
0.0,17,1444732602,0.07341648817124583,1.0,1.0,173.86618198361248
0.0,18,1317426686,0.06257115782478234,1.0,1.0,174.35422103153542
0.0,19,2022506251,0.07273672763795035,1.0,1.0,175.46996305463836
0.0,20,1516459118,0.06767038256693218,1.0,1.0,171.21469404082745
0.0,21,533103612,0.0677265683252531,1.0,1.0,174.97956001898274
0.0,22,1964759878,0.07592204261778933,1.0,1.0,174.36570796417072
0.0,23,2037706756,0.06908400012867388,1.0,1.0,174.9460159917362
0.0,24,1572889065,0.0651479796063717,1.0,1.0,175.12209404958412
0.0,25,1432881518,0.07465859695678827,1.0,1.0,174.47897902457044
0.0,26,280516901,0.06461628107244206,1.0,1.0,174.60575298173353
0.0,27,205939248,0.07029005431788996,1.0,1.0,173.5175959765911
0.0,28,571904914,0.07398060443231332,1.0,1.0,175.6477240123786
0.0,29,948843457,0.0726811982670056,1.0,1.0,174.85178698552772
0.0,30,155492488,0.06740615301715147,1.0,1.0,174.50543801533058
0.0,31,1903701130,0.06148764271430582,1.0,1.0,174.63091301033273
0.0,32,1017961266,0.07053540816403898,1.0,1.0,175.13041599886492
0.0,33,1497769985,0.06211365801828925,1.0,1.0,175.2304660039954
0.0,34,456523489,0.06848955225056777,1.0,1.0,175.01929902937263
0.0,35,701095136,0.07938177436707727,1.0,1.0,175.07413000566885
0.0,36,249069576,0.07552284546944908,1.0,1.0,174.69125101342797
0.0,37,1576098728,0.0705865798230496,1.0,1.0,175.03622104413807
0.0,38,1662748500,0.07658586307256031,1.0,1.0,174.28697500145063
0.0,39,472736216,0.06891401494831868,1.0,1.0,83.15513900015503
0.0,40,1535411295,0.07248298553081814,1.0,1.0,83.27073598047718
0.0,41,175223003,0.0724221432577885,1.0,1.0,84.42151302006096
0.0,42,840936862,0.06857385603181451,1.0,1.0,83.23438797378913
0.0,43,343373188,0.06940415764875464,1.0,1.0,235.1981810061261
0.0,44,1597751082,0.068509059454508,1.0,1.0,243.61473397584632
0.0,45,730359585,0.06977270757472048,1.0,1.0,226.5488610137254
0.0,46,1016641002,0.07203982928929208,1.0,1.0,227.78271901188418
0.0,47,998994690,0.06810169427771126,1.0,1.0,236.97739298222587
0.0,48,1021240743,0.0728518894791394,1.0,1.0,241.05544399935752
0.0,49,572134801,0.07583730916385704,1.0,1.0,246.49091198807582
0.0,50,1198399760,0.07367553211385876,1.0,1.0,233.4151670220308
0.0,51,1751866485,0.07148791840742377,1.0,1.0,241.9951710035093
0.0,52,1070889713,0.07253918072939029,1.0,1.0,239.88931602798402
0.0,53,415096539,0.07423223279764946,1.0,1.0,197.22579297376797
0.0,54,52416235,0.07574450222518428,1.0,1.0,234.06765202526003
0.0,55,278032723,0.07368545996095242,1.0,1.0,240.37408496951684
0.0,56,174946158,0.07198125361953364,1.0,1.0,196.94689102470875
0.0,57,196848554,0.05401603665103201,1.0,1.0,240.40490196784958
0.0,58,263030910,0.0670002282576981,1.0,1.0,237.652433977928
0.0,59,1285415020,0.07827322370570823,1.0,1.0,157.6421609497629
0.0,60,1733223444,0.06530349485635213,1.0,1.0,249.93002804694697
0.0,61,1835544261,0.07365954408100883,1.0,1.0,233.46902703633532
0.0,62,1403186970,0.07430404727320161,1.0,1.0,157.54014503909275
0.0,63,1291971777,0.06531708200258088,1.0,1.0,222.5884419749491
0.0,64,712292067,0.07079208883291067,1.0,1.0,243.14576003234833
0.0,65,2001429764,0.06817945139156241,1.0,1.0,196.72719802474603
0.0,66,1375664061,0.07115045336804224,1.0,1.0,241.35337996995077
0.0,67,1556456120,0.07407263243679758,1.0,1.0,237.48885100940242
0.0,68,1576053187,0.0691088312460998,1.0,1.0,199.05962300254032
0.0,69,1848019881,0.07358269847064002,1.0,1.0,248.05457500042394
0.0,70,1508652585,0.06869491497967269,1.0,1.0,229.50195701560006
0.0,71,1995737731,0.07671868288766462,1.0,1.0,225.27289303252473
0.0,72,1162788447,0.07054749815826541,1.0,1.0,216.09474200522527
0.0,73,1172925522,0.07151286370459824,1.0,1.0,238.42125403461978
0.0,74,539174575,0.07271112572500657,1.0,1.0,215.9316370380111
