epsilon,collision_prob,collision_free_prob,safety_violation_prob,run_min_distance_min,run_min_distance_mean,run_min_distance_std,total_qr_cost_mean,total_qr_cost_std,run_max_compute_time_ms_mean,run_max_compute_time_ms_std
0.032,0.55,0.4499999999999999,0.55,-0.2278106659650802,0.0093679549218359,0.1167628444614158,6.465726509102387,0.4339073786700432,142.74118908033415,7.945125845275109
0.034,0.55,0.4499999999999999,0.55,-0.3000000119209289,0.0222599428077228,0.1362553444018104,6.45358345693443,0.4704038030379084,139.3953868497556,5.56494285867989
0.036,0.43,0.5700000000000001,0.43,-0.3000000119209289,0.0430491585622076,0.1364446103314409,6.466059183171019,0.4520911424572965,141.17623097008618,6.4857830264967
0.038,0.5,0.5,0.5,-0.1863440126180648,0.042610725602135,0.1551924028835605,6.466714518270456,0.4513208735711514,141.01485102008155,5.861536241665633
0.04,0.43,0.5700000000000001,0.43,-0.2301408648490905,0.0639135871035978,0.1682196225803753,6.4369338118413,0.4522803249080532,140.70002355969336,6.972400246327402
0.042,0.38,0.62,0.38,-0.182424396276474,0.1067507433396531,0.1653133716730364,6.379821241002064,0.4371899226491596,138.83860699999786,4.757409952142584
0.044,0.41,0.5900000000000001,0.41,-0.222356379032135,0.1152007773623336,0.1790020329011852,6.406285318735754,0.4508050630991257,143.5187081006734,8.290511736524646
0.046,0.33,0.6699999999999999,0.33,-0.2068935185670852,0.1351919184857979,0.1939121400307824,6.4024752104259095,0.4519913845458655,140.4186914699676,6.192457201951723
0.048,0.36,0.64,0.36,-0.2022294849157333,0.1429036154889036,0.1999228494091461,6.460068631297909,0.4378152256228156,139.64878503014916,6.661421362844858
0.05,0.29,0.71,0.29,-0.1938596963882446,0.1817082413565367,0.1980372436987409,6.459109900579787,0.438451382297781,138.80222267012869,4.630488079838871
0.052,0.29,0.71,0.29,-0.1800054162740707,0.1989205956924706,0.2091168435289978,6.466546848429134,0.4368140017491711,140.55564907997905,6.992968534883136
0.054,0.3,0.7,0.3,-0.1985518932342529,0.211246881398838,0.2248706227856012,6.511624329664046,0.4521490394726503,137.5227375603572,3.692422457597442
0.056,0.25,0.75,0.25,-0.1958020329475402,0.2404587160889059,0.2124407224822692,6.517275374619057,0.4098926085607347,140.1164057101414,7.132169495464964
0.058,0.23,0.77,0.23,-0.1521816402673721,0.2520689350599423,0.2030456446274756,6.613025118935621,0.4068606918157632,140.86028109006293,6.491998104458106
0.06,0.21,0.79,0.21,-0.1718391925096511,0.2648435087325561,0.2141558233643375,6.660689071735833,0.3873436477118161,140.9456869099813,6.813420676135349
0.062,0.25,0.75,0.25,-0.2161648571491241,0.2644168933515902,0.2411572996964223,6.7290649215842135,0.429644232200402,138.6326453696529,5.202745728763183
0.064,0.24,0.76,0.24,-0.1730681806802749,0.2643011345533887,0.2231988503672865,6.829591985167935,0.428325362103313,138.88404080011242,5.544703119627509
0.066,0.22,0.78,0.22,-0.1845282167196273,0.2775247684307396,0.2351303494701654,6.872327482876135,0.4585206069655518,143.84122214956733,7.59066613877795
0.068,0.25,0.75,0.25,-0.2038148194551468,0.2527239027572796,0.253891974501451,7.030221714737126,0.4610740565635199,141.0617213603109,6.99478148152753
0.07,0.29,0.71,0.29,-0.1965807825326919,0.2571817508153617,0.2568342012261053,7.005892960745841,0.4522930874263651,137.44248759030597,2.911391754957802
0.072,0.2,0.8,0.2,-0.1987579315900802,0.3066376340237912,0.2799798965740477,7.029381522823823,0.5307634229770557,139.28752414038172,6.462828559287731
0.074,0.22,0.78,0.22,-0.1822529286146164,0.3034786360803991,0.2810553051589172,7.081620142288739,0.6118332947578993,141.47050878986192,7.959031167515266
0.076,0.15,0.85,0.15,-0.1851140707731247,0.3984516106499359,0.3135518689502328,7.040357821611687,0.5991154592643334,136.96856983973703,3.47357057589524
0.078,0.18,0.8200000000000001,0.18,-0.2087110877037048,0.3716824481333606,0.3288906257164962,7.059873740701005,0.6027339711428558,136.45859116986685,3.024572664837713
0.08,0.14,0.86,0.14,-0.2299733906984329,0.4135104778921231,0.3567950821306659,7.043683444823837,0.711689243834128,137.4385645003349,6.20196932352864
0.082,0.08,0.92,0.08,-0.1588344871997833,0.5080013703927397,0.3747227043615421,6.972256360463798,0.7494051887920576,140.0061237297632,7.798993708219344
0.084,0.06,0.94,0.06,-0.1913822740316391,0.5526020231944131,0.415448183216385,6.97666277441429,0.8324655294137202,136.4913366598921,4.104485576905708
0.086,0.06,0.94,0.06,-0.1760272532701492,0.6095428162068128,0.4369453290572389,6.756430667475797,0.8443108831469487,135.9191920099693,3.5247586336709142
0.088,0.02,0.98,0.02,-0.0982867553830146,0.6973880347982049,0.446733137375334,6.679662401326932,0.8657817765741218,134.74556799963466,4.163863342657666
0.09,0.0,1.0,0.0,0.0250027887523174,0.8027262244001031,0.4374740720139609,6.513411172191845,0.8609418205841795,135.3943850408541,5.749200533326787
0.092,0.0,1.0,0.0,0.1622581481933593,0.9052053958177566,0.4146358132725322,6.328556660776957,0.8498748265122248,136.59995811016415,6.777770776460827
0.094,0.0,1.0,0.0,0.2137486934661865,0.9278685756027698,0.4043177120477795,6.26709198997356,0.8436038500846816,140.01529448112706,7.334307835877757
0.096,0.01,0.99,0.01,-0.1969447433948516,0.9740027762949468,0.4065949337823137,6.229359783051768,0.9035550205837136,134.87303027970484,4.705745618919252
0.098,0.02,0.98,0.02,-0.0556988567113876,0.9997080181911588,0.4116744695266365,6.186924922015751,0.8633592819080077,135.70674653965398,6.196585222582683
0.1,0.02,0.98,0.02,-0.1521212607622146,1.033667338117957,0.4189696310851402,6.069216051883996,0.8182825158330572,138.32792942906963,7.64160515239232
0.102,0.0,1.0,0.0,0.0084242820739746,1.1565088836848736,0.3084868038545535,5.872771756272996,0.6199989133746817,136.0065125503752,6.4172617753136185
0.104,0.0,1.0,0.0,0.2304553091526031,1.190194021910429,0.2801364406541773,5.772881019167835,0.5322904763347597,134.20690114988247,4.78299398733021
0.106,0.0,1.0,0.0,0.1632985025644302,1.2445414291322232,0.1899826056659435,5.7189485860639255,0.5028629384647704,134.65193136929884,5.257492134326744
0.108,0.02,0.98,0.02,-0.0603823401033878,1.2113948044157588,0.292889634521574,5.856501676207408,0.6883130164728632,134.78833372020745,6.108297318851265
0.11,0.02,0.98,0.02,-0.1295829266309738,1.247439722567797,0.2560726933479405,5.734109842927428,0.6194982687335691,137.901956061105,7.164561674006437
0.112,0.01,0.99,0.01,-0.0176973827183246,1.2832215194031595,0.2069860042931018,5.659947938878322,0.5738211503566014,133.8516319989867,6.217098987628836
0.114,0.0,1.0,0.0,0.0078480951488018,1.2978806085512042,0.2036443874824762,5.588431994344574,0.4579508424162937,137.30644296010723,8.940672406567398
0.116,0.0,1.0,0.0,0.3025517165660858,1.3244232973456382,0.1303813594956956,5.563149673209991,0.502073998718001,134.9370761103637,7.570999937094742
0.118,0.0,1.0,0.0,0.1857504844665527,1.3389889681339264,0.1388847635943667,5.546605768731097,0.4493005965063066,135.08357941987924,6.51338046885219
0.12,0.0,1.0,0.0,0.9661170840263368,1.3554761946201324,0.0892453178945142,5.59940062079113,0.4801150461284796,141.21153434141888,8.48028458682823
0.122,0.0,1.0,0.0,0.9755100607872008,1.3663430362939837,0.0949093796262827,5.555541647674982,0.4693136546635022,133.38474132004194,3.974764467977443
0.124,0.0,1.0,0.0,1.0381088256835938,1.3774524652957916,0.0869668866495607,5.536966889561154,0.426659967006548,134.42992546028108,5.12325594671835
0.126,0.0,1.0,0.0,1.0498909950256348,1.378299376964569,0.0966533207577995,5.553788739033044,0.4163083909757321,137.37591248136596,7.774646428949419
0.128,0.0,1.0,0.0,1.1296035051345823,1.3950599455833437,0.0824478873184352,5.594476882633753,0.4202449386855412,138.407517671003,7.867815485717672
0.13,0.0,1.0,0.0,1.0642304420471191,1.4109396731853483,0.0852876379679278,5.619067712367978,0.447619575133217,134.30113978945883,5.925855317946411
0.132,0.0,1.0,0.0,1.0738983154296875,1.423366357088089,0.0866084318207985,5.5716206101747225,0.4088120014463874,134.13563167923712,5.45417234202358
0.134,0.0,1.0,0.0,1.086753487586975,1.4369221067428588,0.0881073326656227,5.561756498315372,0.4182225180703226,132.7617891994305,4.351068467900693
0.136,0.0,1.0,0.0,1.0100986957550049,1.44137038230896,0.0974063158738569,5.634010861979331,0.5039640433619751,133.5060497802624,3.306830432998646
0.138,0.0,1.0,0.0,1.0217443704605105,1.44922585606575,0.1009729536237211,5.646528851650655,0.4646648117548377,135.67422973021166,6.202533020548201
0.14,0.0,1.0,0.0,1.0450127124786377,1.4677096402645111,0.0916395558529057,5.666724014256615,0.4532089949197737,133.724744200008,4.842771614169792
0.142,0.0,1.0,0.0,1.0613946914672852,1.476135231256485,0.095274693304111,5.737187287844717,0.4685167459678315,134.80805562023306,4.771464111787589
0.144,0.0,1.0,0.0,1.0471179485321045,1.4788026344776153,0.1077663041547698,5.820730249907355,0.5392234881247934,133.6834720186016,3.8649007238565374
0.146,0.0,1.0,0.0,1.0591648817062378,1.4837141823768616,0.112159923574701,5.859421340653207,0.5370061089094391,133.19563368029776,5.400962305463871
0.148,0.0,1.0,0.0,1.109924554824829,1.496599736213684,0.1099023926739146,5.870668435827829,0.499337027683753,135.37733089149697,6.485283239438059
0.15,0.0,1.0,0.0,1.1491613388061523,1.5230568611621855,0.0991085446188214,5.888687211181969,0.4916607578110629,134.34712456000852,5.397525094553235
0.152,0.0,1.0,0.0,1.1082816123962402,1.521939628124237,0.1148875515156313,5.872214244520292,0.3889940153129771,132.98554523149505,4.1951411108156105
0.154,0.0,1.0,0.0,1.1191269159317017,1.5245084393024444,0.120037433489894,5.906653569326736,0.5365459812577787,133.25254810988554,6.03968653640143
0.156,0.0,1.0,0.0,1.024401068687439,1.527415279150009,0.1314316284163291,5.9186173261911605,0.4959325176197615,134.46080918001826,5.431354418835513
0.158,0.0,1.0,0.0,1.0142697095870972,1.5329895901679993,0.1421043369056169,5.951657771216706,0.4666858479980614,133.90254161990015,4.6883448307037
0.16,0.0,1.0,0.0,1.0242552757263184,1.5444368028640747,0.1407190498631187,6.002809721487575,0.536125316298221,139.780086690007,7.614118637059429
0.162,0.0,1.0,0.0,1.140972137451172,1.561404139995575,0.1336938091372051,5.980105593726039,0.4904394588701713,132.77536754118046,3.212298658110714
0.164,0.0,1.0,0.0,1.14560067653656,1.5730435943603516,0.1391142517929942,5.956830874655862,0.4785274687662971,135.0107007905899,3.7097022569278737
0.166,0.0,1.0,0.0,1.2103660106658936,1.5846299648284912,0.1318911488422125,5.9943450059508905,0.528602415462202,135.889976589242,5.1538990540557
0.168,0.0,1.0,0.0,0.9775194525718688,1.591336753964424,0.1461540946314956,6.0741929780878126,0.6256512760973097,138.8886415491288,6.840372951060668
0.17,0.0,1.0,0.0,1.2339454889297483,1.5942382109165192,0.1365105434771181,6.116098799381871,0.6238197638025725,135.9081632384914,5.269112327975834
0.172,0.0,1.0,0.0,1.2318789958953855,1.6133754980564117,0.1240674967274122,6.126748397515621,0.6227477942877745,136.90652422927087,4.461115376850847
0.174,0.0,1.0,0.0,1.2344871759414673,1.618442325592041,0.1311925403968647,6.14848570777569,0.6074853278697654,139.2410228215158,6.948070512942942
0.176,0.0,1.0,0.0,1.2465705871582031,1.6151785933971403,0.1361503788515074,6.148483731271699,0.4977257100019699,137.63249123032438,6.381301225338699
0.178,0.0,1.0,0.0,1.192285418510437,1.6215138459205627,0.1398033740653022,6.198182333288714,0.5600666594337456,133.94924648164306,4.118092200513448
0.18,0.0,1.0,0.0,1.199881076812744,1.6413696920871734,0.1376477247819755,6.219771084592212,0.5977137127242957,136.2032348001958,5.162428758034563
0.182,0.0,1.0,0.0,1.239058256149292,1.6384347081184387,0.1404147146351037,6.243795688378159,0.581522291233305,135.15731415944174,6.398274910351709
0.184,0.0,1.0,0.0,1.2489138841629028,1.6468911468982697,0.141367936161337,6.309496292350814,0.7280454459475346,143.1962354813004,6.258678158107539
0.186,0.0,1.0,0.0,1.0509588718414309,1.6497954726219175,0.1532995290113168,6.219801283304114,0.6007962936513747,134.8177534385468,2.354728659021774
0.188,0.0,1.0,0.0,1.0582637786865234,1.653050663471222,0.1583599440912514,6.216245506710838,0.5800401907232658,138.49909001990454,4.070127158048305
0.19,0.0,1.0,0.0,1.0626403093338013,1.67295015335083,0.1494416934015147,6.16089911879506,0.4498357172533247,137.42845190718072,5.090434984618117
0.192,0.0,1.0,0.0,1.070057034492493,1.6890714704990386,0.1465865612204621,6.196973059095908,0.5283843752845208,138.0156897706911,3.429979050381666
0.194,0.0,1.0,0.0,1.3072059154510498,1.7112908232212067,0.1342407330859556,6.249775625516195,0.5708105644178103,136.68678447895218,4.533370056594098
0.196,0.0,1.0,0.0,1.3011422157287598,1.7084361028671264,0.1388666185806825,6.27777333880309,0.5367873107338833,139.1238255405915,5.009450236665647
0.198,0.0,1.0,0.0,1.088089942932129,1.7092211055755615,0.1633978342415137,6.345462238471956,0.5871908395058687,139.54741196299435,6.7619397606628535
0.2,0.0,1.0,0.0,1.116466999053955,1.709162347316742,0.1630835586232383,6.303954418983776,0.5349256953654848,138.7427098097396,5.406033571529605
0.202,0.0,1.0,0.0,1.27014422416687,1.7306723475456238,0.1429159822245029,6.432724478472956,0.7265204510875475,136.59242225141497,3.2036290145689965
0.204,0.0,1.0,0.0,1.299815654754639,1.733703442811966,0.1472000016132576,6.276534829623997,0.5137000736343739,137.27046624873765,3.775246334277356
0.206,0.0,1.0,0.0,1.0081862211227417,1.7339202523231507,0.1726727502457289,6.317921290795784,0.4997361927268996,135.76632958080154,4.671591571177651
0.208,0.0,1.0,0.0,1.081947684288025,1.731584892272949,0.1684745982544944,6.375977134343702,0.5556977323272025,137.17655839049257,5.2243901634134495
0.21,0.0,1.0,0.0,1.1726868152618408,1.733183788061142,0.1799479008407787,6.405271200721618,0.6118310035222421,136.64965756121092,5.342991590514295
0.212,0.0,1.0,0.0,0.2931333184242248,1.7300570648908615,0.2213991264704934,6.4538645777711645,0.7652342593352215,136.22358807071578,4.907050203040912
0.214,0.0,1.0,0.0,1.2759474515914917,1.7686670529842377,0.1623930471320841,6.37410305124009,0.5763207905050718,134.07074117916636,5.271114092018319
0.216,0.0,1.0,0.0,0.7743839025497437,1.7554683983325958,0.2049400645353288,6.428408882576041,0.5847830493213872,135.5233471703832,4.696879278025087
0.218,0.0,1.0,0.0,0.9248831272125244,1.7936103677749633,0.198668814494562,6.523635676677804,0.7662521679690852,136.73991478950484,6.055616329457793
0.22,0.0,1.0,0.0,1.288597583770752,1.805395859479904,0.1778591006745573,6.496756477020681,0.7072254515305453,137.17354143009288,6.4067099863695125
0.222,0.0,1.0,0.0,1.3337130546569824,1.804563388824463,0.1718857057244026,6.457313948336523,0.5834065680070011,133.93301225063624,6.24890618769143
0.224,0.0,1.0,0.0,0.4095630049705505,1.7868963199853898,0.2311966469955332,6.525844573957147,0.6445231995728796,135.47951963933883,6.571557578888224
0.226,0.0,1.0,0.0,0.2786679565906524,1.801051804125309,0.2375249383164425,6.529332798599499,0.6493737228344293,132.3627382380073,3.751181039279549
0.228,0.0,1.0,0.0,1.0405001640319824,1.8199654173851012,0.2102851991280494,6.536388086043298,0.6664754442433746,132.75974672142183,5.360426994921149
0.23,0.0,1.0,0.0,0.2918803095817566,1.844122704863548,0.2418031362111002,6.554968298617751,0.7054229764633237,137.16156175010838,8.717411007282005
0.232,0.0,1.0,0.0,1.207266092300415,1.850068066120148,0.2053596960501466,6.627507982959505,0.7233591124868752,134.4471163104754,7.4038386777729555
0.234,0.0,1.0,0.0,1.2375760078430176,1.8571703672409057,0.193413237923114,6.598763115382753,0.7049662855119655,135.20519120036624,7.932388606116083
0.236,0.0,1.0,0.0,1.22336745262146,1.8539059114456176,0.2021669025291704,6.613526887483895,0.5709928490327316,135.25145011895802,6.168338120733733
0.238,0.0,1.0,0.0,1.2692097425460815,1.86660120010376,0.1971990220415599,6.655709564322605,0.6600371864468124,132.9023467283696,5.935599326777376
0.24,0.0,1.0,0.0,0.9704596996307372,1.864877824783325,0.1995748238674214,6.711386779637541,0.7028403857219969,133.40642922121333,5.968796866908889
0.242,0.0,1.0,0.0,0.9017139673233032,1.8789122205972677,0.2405665250505645,6.77869630278321,0.8283624784449752,133.27511893119663,5.329555178853623
0.244,0.0,1.0,0.0,0.9473382234573364,1.884741350412369,0.2401341367661333,6.844390565804206,0.7284462346649314,139.16954236017773,7.033964117095294
0.246,0.0,1.0,0.0,0.2477196156978607,1.8697411176562309,0.2576418458200866,6.900229794818443,0.8250524718312588,134.48660198890138,4.244619644251241
0.248,0.0,1.0,0.0,0.7825062274932861,1.8436805522441864,0.2773602961984244,7.08207899873145,0.915894530276262,134.17283085960662,6.291753473397525
0.25,0.0,1.0,0.0,0.3027777969837188,1.832906845808029,0.340151257295827,7.117962808248121,0.9821857745796522,133.39474725915352,4.137657617630806
0.252,0.0,1.0,0.0,1.248812556266785,1.9040091943740844,0.215060777542445,6.998254335208331,0.7406394210062328,136.64144584181486,6.427722133543538
0.254,0.0,1.0,0.0,1.123684048652649,1.8868595838546756,0.2261551391866136,7.073316616080701,0.7667913125861779,133.39459941722453,3.0982306863307283
0.256,0.0,1.0,0.0,1.200398087501526,1.9278997242450715,0.2431808322359672,7.178557000146247,0.8573891331476667,134.3417263397714,4.9416788906465285
0.258,0.0,1.0,0.0,1.0860530138015747,1.9226352214813232,0.2737979583795106,7.397494285618887,1.0016633320271833,135.11601738078753,4.11987366570432
0.26,0.0,1.0,0.0,1.1103891134262085,1.9322199714183808,0.3011556702367964,7.400272124486509,0.9416268065739418,136.4399202822824,6.081606639156651
0.262,0.0,1.0,0.0,1.1075631380081177,1.905743592977524,0.3018240984744527,7.389967558945063,0.8743801157492996,134.3393113402999,5.7263128847788485
0.264,0.0,1.0,0.0,0.3560498356819153,1.9321584165096284,0.3186077264834722,7.450459567853249,0.959630974147058,133.85266505763866,4.9876830265447705
0.266,0.0,1.0,0.0,0.3439047336578369,1.9135406732559204,0.3595609787459387,7.448364788439358,0.8107146226966474,138.6038374574855,8.152913672773918
0.268,0.0,1.0,0.0,0.3602713644504547,1.9131225350499157,0.3320705958576579,7.512956715442706,0.94704873630737,136.08154761750484,6.616256647035443
0.27,0.0,1.0,0.0,1.1246575117111206,1.956390175819397,0.297937459384027,7.504987726958934,0.7220014943438581,132.0122738010832,4.305073414621716
0.272,0.0,1.0,0.0,1.307949185371399,2.024241502285004,0.2437520737154676,7.4684436660655775,0.8286801301426034,134.1388307721354,4.0272083032423565
0.274,0.0,1.0,0.0,1.0253528356552124,1.950573519468308,0.2936757695294392,7.598473920437973,0.8344951442582396,133.2300658687018,3.9242903866804175
0.276,0.0,1.0,0.0,0.9621209502220154,1.9909787172079083,0.3266584909173626,7.717216099388898,0.897593137212376,136.32768509007292,6.700677405056873
0.278,0.0,1.0,0.0,1.170915603637695,1.9829649066925048,0.3246029159823139,7.750594485779293,0.8558337366654245,134.52777974976925,7.238527223841873
0.28,0.0,1.0,0.0,1.2122117280960083,2.035966384410858,0.312394377700402,7.755839314926415,0.9071269711989118,134.1801931298687,4.681662923349774
0.282,0.0,1.0,0.0,0.8706111907958984,2.013678349256516,0.3274562217512871,7.846183628877624,0.818954272156126,133.66898831969593,5.053037620548203
0.284,0.0,1.0,0.0,1.0869892835617063,2.0380421555042267,0.2947381938810745,7.711605515438132,0.7913592335841522,136.38688840932446,7.830362872134168
0.286,0.0,1.0,0.0,1.124871015548706,2.020475348234177,0.3188277092450191,7.874950260126497,0.8358918936130817,131.3818273798097,4.014447503245092
0.288,0.0,1.0,0.0,1.2578916549682615,2.0374438881874086,0.3177253691217345,7.826253774475772,0.7386194763476831,133.61634643137222,5.882348936873616
0.29,0.0,1.0,0.0,0.8103782534599304,2.0218467253446577,0.3550210816517286,7.846100581565406,0.862056573746831,132.3286874598125,4.628967391252435
0.292,0.0,1.0,0.0,0.2894257009029388,1.977619799375534,0.4581117956694585,8.025282754341607,1.0385052942669573,137.7906689196243,7.105579663076761
0.294,0.0,1.0,0.0,0.3307304084300995,1.9429664459824565,0.4321442319632809,7.989973868163069,0.7894012593343149,132.43105553963687,2.995030752357115
0.296,0.0,1.0,0.0,1.0235027074813845,1.9763619256019596,0.38452247231784,7.93643737439299,0.7449028682143795,97.43944666115569,21.082091957233583
0.298,0.0,1.0,0.0,0.5884501934051514,1.968737511634827,0.4081896659833332,8.140983435814269,0.7618290675481256,92.96551660983825,21.711209601479894
0.3,0.0,1.0,0.0,0.3368650674819946,1.913705238699913,0.4581180724033911,8.081313002022217,0.7622505989316225,80.73125026014168,20.604822011890725
