epsilon,Run,Seed,RunMinDistance,SafetyViolation,Collision,TotalQRCost,RunMaxComputeTimeMs
0.0,0,1501552845,0.05641778185963631,0.0,0.0,6.265666320221499,142.936483000085
0.0,1,488200390,0.030512304976582527,0.0,0.0,6.445949062821455,143.29531299881637
0.0,2,1693606510,0.03947817161679268,0.0,0.0,6.159234446822666,141.56242900025973
0.0,3,680233354,-0.02410827949643135,1.0,1.0,6.438505753874779,144.15368200025114
0.0,4,438466540,-0.05738881230354309,1.0,1.0,6.165608294424601,142.31753600142838
0.0,5,1712329280,-0.04439419507980347,1.0,1.0,6.1669423741986975,139.9677770004928
0.0,6,1380152455,-0.14304964244365692,1.0,1.0,6.076787987258285,157.64468099951046
0.0,7,1452245846,-0.0036039785481989384,1.0,1.0,6.556765161920339,136.48174300033133
0.0,8,2122694021,-0.05271085351705551,1.0,1.0,5.881106638349593,137.83336099913868
0.0,9,839901363,-0.17053306102752686,1.0,1.0,6.016218228614889,137.62859900089097
0.0,10,1802651552,-0.0025536243338137865,1.0,1.0,6.682918069534935,142.56123400082288
0.0,11,714712467,0.020962083712220192,0.0,0.0,6.095513661624864,144.0817729999253
0.0,12,1218704077,-0.04742918536067009,1.0,1.0,6.123724142322317,144.88492400050745
0.0,13,1284858263,-0.07032217085361481,1.0,1.0,6.558247703593224,143.62608400006138
0.0,14,457721135,-0.08450626581907272,1.0,1.0,5.9911126653896645,141.23118600036833
0.0,15,401008609,-0.007247573230415583,1.0,1.0,5.872308733873069,139.2176820008899
0.0,16,492064534,-0.12882950901985168,1.0,1.0,5.88550410582684,141.65511099963624
0.0,17,1444732602,0.07640793919563293,0.0,0.0,6.442640303517692,139.50633199965523
0.0,18,1317426686,-0.0043298122473061085,1.0,1.0,7.033612305182032,138.8497100015229
0.0,19,2022506251,-0.15968160331249237,1.0,1.0,6.022491538431495,142.30057799977658
0.0,20,1516459118,0.005379057954996824,0.0,0.0,6.215964148053899,143.04753099895606
0.0,21,533103612,0.016304438933730125,0.0,0.0,6.207901565823704,142.09015400047065
0.0,22,1964759878,-0.04310869425535202,1.0,1.0,6.069647784228437,143.6606879997271
