epsilon,collision_prob,collision_free_prob,safety_violation_prob,run_min_distance_min,run_min_distance_mean,run_min_distance_std,total_qr_cost_mean,total_qr_cost_std,run_max_compute_time_ms_mean,run_max_compute_time_ms_std
0.0,0.74,0.26,0.74,-0.1783265471458435,-0.04035511315101758,0.06658741423866366,6.199552765956614,0.29229212734372995,141.28750854017198,5.393632622338895
0.001,0.79,0.20999999999999996,0.79,-0.20958372950553894,-0.05399922476150096,0.06393480456371682,6.218022225700552,0.3011924154769365,141.5783956199266,4.933288744779565
0.002,0.7,0.30000000000000004,0.7,-0.1977427750825882,-0.04436463026271667,0.06881165611729956,6.210718053751625,0.2876869400703756,143.9476838999144,7.983485361910892
0.003,0.69,0.31000000000000005,0.69,-0.22695240378379822,-0.04497326439304743,0.07867553461996979,6.209917959208833,0.264431501870211,141.90628763011773,6.955539117996192
0.004,0.71,0.29000000000000004,0.71,-0.2726059556007385,-0.05181955147534609,0.08506378174643989,6.264323950823163,0.3505078652543668,142.42485438004223,5.6464645656207715
0.005,0.82,0.18000000000000005,0.82,-0.30000001192092896,-0.05498395906412043,0.07498556161665,6.209332369526383,0.337708090593215,144.6569276298942,7.330852778784971
0.006,0.72,0.28,0.72,-0.21641120314598083,-0.053859371972212106,0.06966574653114176,6.167239887194009,0.36255211127609643,143.1540155399489,6.8468557988885825
0.007,0.71,0.29000000000000004,0.71,-0.30000001192092896,-0.036804232343565675,0.0649764308135334,6.175485720887082,0.3562491169264754,142.63322311999218,7.2402222111443
0.008,0.78,0.21999999999999997,0.78,-0.30000001192092896,-0.04586044514551759,0.07397310812731117,6.172082821764052,0.38996242707300266,141.04470193011366,3.631972121652363
0.009,0.7,0.30000000000000004,0.7,-0.30000001192092896,-0.03643259343138197,0.07697425523953802,6.216005025685299,0.3815611886420069,144.37221975029388,6.434298247659198
0.01,0.73,0.27,0.73,-0.23891481757164001,-0.04183203273976687,0.06795119298010877,6.186215221225284,0.3349754935764488,141.0597850301565,4.5020394156713905
0.011,0.7,0.30000000000000004,0.7,-0.30000001192092896,-0.03571482768747956,0.07449556879262695,6.267563692361582,0.34468685057392856,142.09371569013456,6.095639682754514
0.012,0.75,0.25,0.75,-0.2298540323972702,-0.0454206937836716,0.06760559835696987,6.306849531264743,0.2982897266114549,141.83037407001393,4.561312262688986
0.013,0.68,0.31999999999999995,0.68,-0.30000001192092896,-0.042041206567955666,0.077681765415685,6.340285536212614,0.31993938535182065,142.22075574991322,6.945461513302031
0.014,0.69,0.31000000000000005,0.69,-0.18706795573234558,-0.030668166338145966,0.06485851850202008,6.3485961097897965,0.32750782795974825,140.50034309002513,5.082940960457864
0.015,0.71,0.29000000000000004,0.71,-0.30000001192092896,-0.04505706308002118,0.07506410995687411,6.323271982694277,0.33271103494435994,143.46020868993946,8.269601318920197
0.016,0.67,0.32999999999999996,0.67,-0.30000001192092896,-0.04740901785204187,0.0813311739993837,6.335546488079708,0.3444964771494451,141.61368995013618,5.192249546902285
0.017,0.73,0.27,0.73,-0.30000001192092896,-0.04617221690481529,0.07325417948580948,6.383658208338311,0.2935359977020747,144.90782719996787,7.941934736702588
0.018,0.78,0.21999999999999997,0.78,-0.2269052267074585,-0.0532978225115221,0.07051518493659485,6.405246454365551,0.31292410259262304,141.27530754987674,5.003816644755901
0.019,0.77,0.22999999999999998,0.77,-0.30000001192092896,-0.051547158241155557,0.08227784983102228,6.391621234805789,0.3286111492731411,141.63658998990286,5.52098856223008
0.02,0.76,0.24,0.76,-0.30000001192092896,-0.04745580292656086,0.07644685441318343,6.403523349555908,0.3490326630501156,142.87077406996104,7.1713286113378345
0.021,0.82,0.18000000000000005,0.82,-0.235181525349617,-0.06260974492412061,0.08271842948397912,6.429591891842429,0.3056665266123348,141.7917752498397,6.011661492195476
0.022,0.67,0.32999999999999996,0.67,-0.22940026223659515,-0.037623356309341036,0.08030801749055186,6.468322600614047,0.4448152568836055,142.17235441996309,5.547686812677861
0.023,0.73,0.27,0.73,-0.30000001192092896,-0.0498247370228637,0.08839656555361712,6.466899661290227,0.3722424355567793,140.2592682300019,3.125127032057056
0.024,0.69,0.31000000000000005,0.69,-0.19868843257427216,-0.035292618781095374,0.08231830552748298,6.460258326397743,0.35372443822129407,145.8541274900199,8.212735393886701
0.025,0.72,0.28,0.72,-0.30000001192092896,-0.03786365716368891,0.08535727975277572,6.476900250384351,0.3608774444548762,141.8085601398343,5.477330442117246
0.026,0.64,0.36,0.64,-0.2344692051410675,-0.025844087558798492,0.09570934542447673,6.4633576941082715,0.36357613999304883,141.79752296018705,6.301659142839415
0.027,0.68,0.31999999999999995,0.68,-0.30000001192092896,-0.040895656135398896,0.10530029266041595,6.510114993551979,0.38175648812284024,140.83010244994512,5.458176406463788
