Algorithm,Run,RunMinDistance,SafetyViolation,Collision,TotalTrackingControlCost,TotalQSigmaInvStageCost,TotalQRStageCost,RunMaxComputeTimeMs
MPPI,60,-0.16489197313785553,1.0,1.0,6.305748189799488,6.305748189799488,6.305748189799488,19.565484020859003
MPPI,61,-0.04594523459672928,1.0,1.0,6.2056224485859275,6.2056224485859275,6.2056224485859275,28.18118082359433
MPPI,62,-0.14294669032096863,1.0,1.0,6.391330898622982,6.391330898622982,6.391330898622982,18.835560884326696
MPPI,63,-0.14816763997077942,1.0,1.0,6.2665200845804065,6.2665200845804065,6.2665200845804065,25.419338140636683
MPPI,64,-0.14645960927009583,1.0,1.0,6.203866046969779,6.203866046969779,6.203866046969779,32.3349148966372
MPPI,65,-0.2839623987674713,1.0,1.0,6.281760718324222,6.281760718324222,6.281760718324222,18.929067067801952
MPPI,66,-0.15221337974071503,1.0,1.0,6.1918098230380565,6.1918098230380565,6.1918098230380565,18.66460801102221
MPPI,67,-0.15404614806175232,1.0,1.0,6.217097024200484,6.217097024200484,6.217097024200484,18.522900063544512
MPPI,68,-0.1557251214981079,1.0,1.0,6.2988676954992115,6.2988676954992115,6.2988676954992115,18.569181906059384
MPPI,69,-0.14970366656780243,1.0,1.0,6.284033386502415,6.284033386502415,6.284033386502415,18.901729956269264
MPPI,70,-0.16357102990150452,1.0,1.0,6.358771382132545,6.358771382132545,6.358771382132545,26.44650498405099
MPPI,71,-0.15689606964588165,1.0,1.0,6.415466793929227,6.415466793929227,6.415466793929227,19.36739101074636
MPPI,72,-0.17310859262943268,1.0,1.0,6.525502584292553,6.525502584292553,6.525502584292553,19.578987965360284
MPPI,73,-0.15501058101654053,1.0,1.0,6.329325175029226,6.329325175029226,6.329325175029226,19.03956802561879
MPPI,74,-0.14803457260131836,1.0,1.0,6.149497220176272,6.149497220176272,6.149497220176272,18.46822095103562
MPPI,75,-0.15430501103401184,1.0,1.0,6.295997150824405,6.295997150824405,6.295997150824405,18.81339098326862
MPPI,76,-0.15641993284225464,1.0,1.0,6.412322887219489,6.412322887219489,6.412322887219489,18.499982077628374
MPPI,77,-0.14864476025104523,1.0,1.0,6.31142464664299,6.31142464664299,6.31142464664299,19.026475958526134
MPPI,78,-0.1474442481994629,1.0,1.0,6.284719351213425,6.284719351213425,6.284719351213425,32.321033999323845
MPPI,79,-0.1596500426530838,1.0,1.0,6.190015106461942,6.190015106461942,6.190015106461942,21.815596846863627
MPPI,80,-0.1478804498910904,1.0,1.0,6.200736069004051,6.200736069004051,6.200736069004051,25.334246922284365
MPPI,81,-0.16266818344593048,1.0,1.0,6.711855099769309,6.711855099769309,6.711855099769309,18.99596699513495
MPPI,82,-0.15035122632980347,1.0,1.0,6.311596299288794,6.311596299288794,6.311596299288794,20.011537009850144
MPPI,83,-0.13855980336666107,1.0,1.0,6.529209102969617,6.529209102969617,6.529209102969617,29.11845501512289
MPPI,84,-0.15305396914482117,1.0,1.0,6.245344787253998,6.245344787253998,6.245344787253998,18.445360008627176
