Algorithm,Runs,CollisionFreeRuns,RunMinDistance_Min,RunMinDistance_Mean,RunMinDistance_Std,SafetyViolation_Prob,Collision_Prob,TotalTrackingControlCost_Mean,TotalTrackingControlCost_Std,TotalQRStageCost_Mean,TotalQRStageCost_Std,TotalQSigmaInvStageCost_Mean,TotalQSigmaInvStageCost_Std,RunMaxComputeTimeMs_Max,RunMaxComputeTimeMs_Mean,RunMaxComputeTimeMs_Std
MPPI,100,0,-0.30000001192092896,-0.15810353852808476,0.048897031334943955,1.0,1.0,,0.0,,0.0,,0.0,54.28167199715972,22.15915349079296,6.068821105591589
RAMPPI,100,45,-0.30000001192092896,-0.034991311561316255,0.11381210841120887,0.55,0.55,6.66655971664004,0.11920724808601779,6.66655971664004,0.11920724808601779,6.66655971664004,0.11920724808601779,48.151064896956086,21.94674697238952,5.144459504327108
DRMPPI,100,100,0.0548720620572567,0.46163551952689885,0.27719014470438,0.0,0.0,7.58761250254116,0.4145013992483759,7.58761250254116,0.4145013992483759,7.58761250254116,0.4145013992483759,42.355988873168826,22.95727560762316,5.27362127775703
DRAMPPI,100,76,-0.15675801038742065,0.07858908087946474,0.09714100215402266,0.24,0.24,6.068643889935246,0.30232661246698217,6.068643889935246,0.30232661246698217,6.068643889935246,0.30232661246698217,83.19414500147104,67.98865196062252,3.4524959618222586
