Algorithm,Runs,CollisionFreeRuns,RunMinDistance_Min,RunMinDistance_Mean,RunMinDistance_Std,SafetyViolation_Prob,Collision_Prob,TotalFullCost_Mean,TotalFullCost_Std,TotalTrackingControlCost_Mean,TotalTrackingControlCost_Std,TotalQRStageCost_Mean,TotalQRStageCost_Std,TotalQSigmaInvStageCost_Mean,TotalQSigmaInvStageCost_Std,RunMaxComputeTimeMs_Max,RunMaxComputeTimeMs_Mean,RunMaxComputeTimeMs_Std,RunMeanComputeTimeMs_Mean,WallTimeS_Mean
MPPI,100,0,0.03720783127678842,0.04663205003018291,0.003875605895436082,1.0,1.0,18432.798385239992,125.88758241950799,,0.0,,0.0,,0.0,387.4097280022397,38.46114401003433,38.48991789545357,16.503555838847838,9.943812000519792
RAMPPI,100,30,0.033524800426830835,0.07635304737266027,0.007162349486360025,0.7,0.7,1669.8291018144946,240.0516548223574,1315.1223827809742,81.79988885192498,1315.1223827809742,81.79988885192498,1315.1223827809742,81.79988885192498,91.32006599975284,30.07853602994146,9.750031829117072,17.511567146107296,10.594905652890192
DRMPPI,100,93,0.07826445436442074,0.08938880241826955,0.0052192055970631136,0.07,0.07,4898.0106200422315,509.0332862380356,1867.1652723773532,83.26694291646803,1867.1652723773532,83.26694291646803,1867.1652723773532,83.26694291646803,69.06428600268555,34.01660235031159,6.251881488913505,21.366543994361287,12.649047830199743
DRAMPPI,100,0,0.0077106426808462,0.045067901754372384,0.016709644892822728,1.0,1.0,14715.775249894434,6105.322686048959,,0.0,,0.0,,0.0,91.22089900120045,32.66444905002572,9.766121880322222,19.324344050860837,11.480958091799984
