Algorithm,Method,SourceFile,Run,Seed,SimSteps,Dt,ObsUpdateSteps,RunMinDistance,SafetyViolation,Collision,FirstCollisionStep,CollisionSteps,RunMaxComputeTimeMs,RunMeanComputeTimeMs,WallTimeS,TotalControlEffort,TotalFullCost,TerminalFullCost,TotalTrackingControlCost,TerminalTrackingCost,TotalQRStageCost,TotalQSigmaInvStageCost,MovingCollisionRadius,MovingSafeRadius,DroneRadius,DrEpsCvar,CvarAlpha,CvarN,RiskCostA,RiskCostCu,SigmaCp,Nmc,OmegaSoft,OmegaHard
RAMPPI,ramppi,RA_mppi_crazyflie.py,5,533103612,520,0.02,15,0.080646447423407,0.0,0.0,-1,0,34.17616290971637,29.0189653451447,15.647035964997485,51.397766034953364,1857.0630155150297,0.1144228141628229,1274.1454441011851,0.1144228141628229,1274.1454441011851,1274.1454441011851,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,5,1964759878,520,0.02,15,0.09513565711720448,0.0,0.0,-1,0,34.8096489906311,31.919753583273494,17.150064337067306,55.7383046869362,3534.849607637878,0.333774930019008,1694.8058948928692,0.333774930019008,1694.8058948928692,1694.8058948928692,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,5,2037706756,520,0.02,15,0.06696009101581947,1.0,1.0,51,8,34.69433379359543,31.235749103899042,16.813395072007552,58.88601253585281,4457.0515802944,0.6438054410178315,1354.2371065943466,0.6438054410178315,1354.2371065943466,1354.2371065943466,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,6,1572889065,520,0.02,15,0.053958685391563864,1.0,1.0,54,23,31.643413938581944,28.71890482224094,15.465069105150178,48.3931749613009,15026.398983028264,3.331736333788604,1748.9371216724742,3.331736333788604,1748.9371216724742,1748.9371216724742,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,6,1432881518,520,0.02,15,0.07493947740539844,1.0,1.0,47,5,34.1071009170264,30.304716978347503,16.34071091399528,51.30517848319551,1611.9937070909816,0.0951149631765892,1307.6741357524677,0.0951149631765892,1307.6741357524677,1307.6741357524677,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,6,280516901,520,0.02,15,0.08442588295969583,0.0,0.0,-1,0,34.5761519856751,30.43087344177855,16.407686869148165,56.28582047299021,2941.9986643361217,0.07773356280697069,1665.6243753725987,0.07773356280697069,1665.6243753725987,1665.6243753725987,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,6,205939248,520,0.02,15,0.04599913955755302,1.0,1.0,49,14,37.97726100310683,31.244995459788836,16.833213574951515,55.112438169148156,19781.31841546586,0.09117881470715153,1065.6422557150106,0.09117881470715153,1065.6422557150106,1065.6422557150106,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,7,571904914,520,0.02,15,0.051799634364336156,1.0,1.0,53,18,32.15960110537708,28.010977079303792,15.110902437008917,47.77513304071611,15099.887408756822,3.4584338757556465,1785.065570602686,3.4584338757556465,1785.065570602686,1785.065570602686,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,7,948843457,520,0.02,15,0.08482993819644195,0.0,0.0,-1,0,34.56034907139838,30.52773034925429,16.4620594070293,51.57067972068489,1473.3520564946373,0.012772106259188723,1304.1663579216608,0.012772106259188723,1304.1663579216608,1304.1663579216608,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,7,155492488,520,0.02,15,0.09250700181329641,0.0,0.0,-1,0,34.88822001963854,30.58930507932718,16.475411895895377,54.622797207496035,3409.9374783458584,0.030273144990013455,1613.1574179754314,0.030273144990013455,1613.1574179754314,1613.1574179754314,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,7,1903701130,520,0.02,15,0.07293434938808149,1.0,1.0,387,9,35.15952383168042,31.587204590547255,17.005541299004108,57.453875971456085,16933.302658667675,0.14210035667249551,1258.3912822929399,0.14210035667249551,1258.3912822929399,1258.3912822929399,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,8,1017961266,520,0.02,15,0.04948597538388317,1.0,1.0,55,20,30.69287887774408,27.706416549895387,14.969299954129383,48.918423309320495,15051.10265130158,3.1595734689234116,1775.6772870942525,3.1595734689234116,1775.6772870942525,1775.6772870942525,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,8,1497769985,520,0.02,15,0.08471612791726316,0.0,0.0,-1,0,32.91646600700915,29.24388482665213,15.825195751851425,53.03784245658666,1471.1665208436136,0.06739226642788977,1432.8702512833293,0.06739226642788977,1432.8702512833293,1432.8702512833293,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,8,456523489,520,0.02,15,0.08951308552316005,0.0,0.0,-1,0,34.58640514872968,31.096155704625954,16.745012255152687,56.78232422486279,3977.4269362288665,1.4606382310545825,1660.0812259400288,1.4606382310545825,1660.0812259400288,1660.0812259400288,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,8,701095136,520,0.02,15,0.070729585546244,1.0,1.0,50,5,34.50223710387945,30.657526905773782,16.525963894091547,58.708948722071895,3363.607314808209,0.2974592946243912,1248.6784244352057,0.2974592946243912,1248.6784244352057,1248.6784244352057,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,9,249069576,520,0.02,15,0.0326849265256229,1.0,1.0,54,21,34.22673512250185,28.007225108852325,15.102887111948803,48.588412106711345,14964.039769768495,3.55515637228838,1758.0628797417053,3.55515637228838,1758.0628797417053,1758.0628797417053,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,9,1576098728,520,0.02,15,0.08577081919433721,0.0,0.0,-1,0,34.23015307635069,30.426487481096185,16.39129236410372,51.72745790365965,1390.3090591895752,0.4986303126807219,1346.9628701334937,0.4986303126807219,1346.9628701334937,1346.9628701334937,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,9,1662748500,520,0.02,15,0.09546561762648076,0.0,0.0,-1,0,34.05704419128597,30.315254635374565,16.351188394008204,56.439900687878406,4523.529456647893,0.08415516856645099,1802.82525900142,0.08415516856645099,1802.82525900142,1802.82525900142,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,9,472736216,520,0.02,15,0.07048543878858272,1.0,1.0,50,11,35.7255139388144,30.452700711947937,16.446660223184153,55.878833520403774,1558.4569087272123,0.321028387267257,1204.4209480230165,0.321028387267257,1204.4209480230165,1204.4209480230165,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,10,1535411295,520,0.02,15,0.056836482848839555,1.0,1.0,56,23,29.467883054167032,26.790943424342775,14.492592171067372,48.60344632904393,15042.238157669577,3.5132319105872383,1805.3378273227343,3.5132319105872383,1805.3378273227343,1805.3378273227343,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,10,175223003,520,0.02,15,0.08026521805901317,0.0,0.0,-1,0,35.376560874283314,29.993984676772154,16.189910099841654,50.96399859494939,1359.9131943142463,0.1127835824857997,1307.2570945988712,0.1127835824857997,1307.2570945988712,1307.2570945988712,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,10,840936862,520,0.02,15,0.10083035966980522,0.0,0.0,-1,0,47.499238047748804,30.838415580533017,16.623162315925583,55.52791151569308,3622.99611174149,0.052349671148175715,1742.8146985302872,0.052349671148175715,1742.8146985302872,1742.8146985302872,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,10,343373188,520,0.02,15,0.0569835748412074,1.0,1.0,49,18,34.43409502506256,31.12013890237834,16.752673221053556,60.84309491557276,10063.613428785266,0.33227406902665235,1315.3400660091845,0.33227406902665235,1315.3400660091845,1315.3400660091845,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,11,1597751082,520,0.02,15,0.060590908393178246,1.0,1.0,56,21,33.048600889742374,28.505543111196648,15.362706902204081,48.97336478324844,15129.551540420047,3.6071275542514756,1808.9438741336346,3.6071275542514756,1808.9438741336346,1808.9438741336346,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,11,730359585,520,0.02,15,0.08145554397631044,0.0,0.0,-1,0,34.719061106443405,30.925155905200743,16.648689182009548,51.44926975164296,1938.3415618562706,0.4524825725871154,1283.6415551880168,0.4524825725871154,1283.6415551880168,1283.6415551880168,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,11,1016641002,520,0.02,15,0.0994871949356323,0.0,0.0,-1,0,90.91385710053146,31.33346875457881,16.886255552060902,56.355078658073325,3270.7265665472814,0.7875344895348177,1749.6512877889734,0.7875344895348177,1749.6512877889734,1749.6512877889734,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,11,998994690,520,0.02,15,0.06859031254881395,1.0,1.0,50,20,100.79510603100061,31.204678976568037,16.83064576005563,56.34770542068643,19513.70592969535,0.6330206630083551,1061.7849806560675,0.6330206630083551,1061.7849806560675,1061.7849806560675,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,12,1021240743,520,0.02,15,0.056665694798387185,1.0,1.0,163,15,31.705324072390795,28.1783908950344,15.198886967962608,48.67707315779833,15077.11105792011,3.5192896361457136,1727.4267518060053,3.5192896361457136,1727.4267518060053,1727.4267518060053,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,12,572134801,520,0.02,15,0.07621398866594332,1.0,1.0,50,5,34.11377198062837,30.47607255821976,16.44445732794702,53.010204942386466,1461.1042951405407,0.1929205997873954,1333.2147695407045,0.1929205997873954,1333.2147695407045,1333.2147695407045,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,12,1198399760,520,0.02,15,0.09898819084365103,0.0,0.0,-1,0,57.09680402651429,30.625843065522183,16.515391669003293,53.980158288908186,2586.2925316964847,0.9884188482973367,1743.4119508312588,0.9884188482973367,1743.4119508312588,1743.4119508312588,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,12,1751866485,520,0.02,15,0.048537434619619436,1.0,1.0,49,9,35.41158908046782,31.005852988276345,16.71572798700072,58.8545539011034,11164.991627995976,0.036692998219531356,1289.3157919963353,0.036692998219531356,1289.3157919963353,1289.3157919963353,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,13,1070889713,520,0.02,15,0.061560624160218055,1.0,1.0,54,17,47.23802418448031,27.51152647095016,14.867097498849034,48.67356651208171,15084.844879528477,3.65432058793793,1748.2927053963003,3.65432058793793,1748.2927053963003,1748.2927053963003,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,13,415096539,520,0.02,15,0.0823227186742397,0.0,0.0,-1,0,33.563751028850675,29.96660639361765,16.17545479000546,51.823169524345715,1626.3258376558615,0.48995227890729715,1414.1615437917624,0.48995227890729715,1414.1615437917624,1414.1615437917624,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,13,52416235,520,0.02,15,0.09644957673191047,0.0,0.0,-1,0,40.30973883345723,30.815258726943284,16.601723838830367,56.65901998954537,3783.22491414872,0.0682190711811362,1833.8826378460283,0.0682190711811362,1833.8826378460283,1833.8826378460283,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,13,278032723,520,0.02,15,0.07567525563939953,1.0,1.0,153,9,39.390563033521175,31.78345623667925,17.090850301086903,56.655513948196,8455.208395671454,0.11762365770425173,1194.8642395731713,0.11762365770425173,1194.8642395731713,1194.8642395731713,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,14,174946158,520,0.02,15,0.0505176884381039,1.0,1.0,54,22,32.18508884310722,27.686659713239912,14.951741349883378,48.135654498239866,15160.50013974676,3.6149821037971805,1684.916378079118,3.6149821037971805,1684.916378079118,1684.916378079118,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,14,196848554,520,0.02,15,0.08374751830048639,0.0,0.0,-1,0,33.61897403374314,29.856165329692885,16.139545704005286,51.32456681887541,1347.3325854446691,1.3693916523859253,1347.3325854446691,1.3693916523859253,1347.3325854446691,1347.3325854446691,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,14,263030910,520,0.02,15,0.09773972679857808,0.0,0.0,-1,0,32.902645180001855,29.780180554371327,16.100935625145212,55.76920111230376,2666.792824177928,0.04592206352929391,1750.9331681536505,0.04592206352929391,1750.9331681536505,1750.9331681536505,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,14,1285415020,520,0.02,15,0.07262936371088002,1.0,1.0,155,6,35.09996901266277,31.54075193003966,16.97079284186475,57.26542984405633,6124.59060855892,0.09529571536766052,1318.6376445998192,0.09529571536766052,1318.6376445998192,1318.6376445998192,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,15,1733223444,520,0.02,15,0.05338265417990126,1.0,1.0,54,18,31.577320070937276,28.638361617833233,15.436291442951187,48.13305184403675,15061.567122508466,3.3640281115473485,1682.7406600789025,3.3640281115473485,1682.7406600789025,1682.7406600789025,0.08,0.08,0.04,,,,,,,,,
