Algorithm,Method,SourceFile,Run,Seed,SimSteps,Dt,ObsUpdateSteps,RunMinDistance,SafetyViolation,Collision,FirstCollisionStep,CollisionSteps,RunMaxComputeTimeMs,RunMeanComputeTimeMs,WallTimeS,TotalControlEffort,TotalFullCost,TerminalFullCost,TotalTrackingControlCost,TerminalTrackingCost,TotalQRStageCost,TotalQSigmaInvStageCost,MovingCollisionRadius,MovingSafeRadius,DroneRadius,DrEpsCvar,CvarAlpha,CvarN,RiskCostA,RiskCostCu,SigmaCp,Nmc,OmegaSoft,OmegaHard
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,17,1995737731,520,0.02,15,0.06292560573292419,1.0,1.0,49,20,35.781285958364606,31.802408600029032,17.11761002195999,57.19570246428645,22242.918561088816,1.2126769973924612,1266.366201496483,1.2126769973924612,1266.366201496483,1266.366201496483,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,18,1162788447,520,0.02,15,0.04615318836807941,1.0,1.0,55,24,32.18824416399002,28.446499115447157,15.34524013614282,48.87873206570902,15111.115898904078,3.7742925569938497,1716.0293677193633,3.7742925569938497,1716.0293677193633,1716.0293677193633,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,18,1172925522,520,0.02,15,0.07952544114614873,1.0,1.0,51,1,34.473119070753455,30.482953353874528,16.466740554897115,52.44095655443707,1656.0476498390626,0.42487191035609684,1449.077512224906,0.42487191035609684,1449.077512224906,1449.077512224906,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,18,539174575,520,0.02,15,0.0956211248587803,0.0,0.0,-1,0,37.64947201125324,30.548436710915457,16.50696218200028,54.82403677101689,2988.0053834886353,0.13818462223792877,1730.0859688208932,0.13818462223792877,1730.0859688208932,1730.0859688208932,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,18,2013637345,520,0.02,15,0.06916099593714928,1.0,1.0,157,6,36.86936409212649,32.4460440086953,17.4666121781338,56.821932773416634,10506.188293521705,0.4201647206119805,1216.3120711096724,0.4201647206119805,1216.3120711096724,1216.3120711096724,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,19,1187468716,520,0.02,15,0.05934455894562134,1.0,1.0,53,22,32.01360790990293,28.778853164448474,15.50958292116411,48.64970375804719,14986.228636820226,3.4444806507149526,1647.6747175467146,3.4444806507149526,1647.6747175467146,1647.6747175467146,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,19,1062978506,520,0.02,15,0.07522394365187379,1.0,1.0,48,6,35.53573903627694,31.642120693756553,17.018934903899208,51.55429197716522,1487.46677420992,0.14286159570207582,1294.7180359431404,0.14286159570207582,1294.7180359431404,1294.7180359431404,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,19,679326770,520,0.02,15,0.09003137158706395,0.0,0.0,-1,0,35.257516195997596,32.61881173686841,17.512015970190987,57.23250214977294,3134.3798787077703,0.08224240381506351,1762.5738275402089,0.08224240381506351,1762.5738275402089,1762.5738275402089,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,19,587923432,520,0.02,15,0.06304815343912148,1.0,1.0,263,6,33.827936043962836,30.562063268958948,16.454593220027164,60.38843447356264,11377.482921183779,0.01810404970091701,1242.5915847536828,0.01810404970091701,1242.5915847536828,1242.5915847536828,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,20,1359889667,520,0.02,15,0.05329999818045938,1.0,1.0,54,22,30.578067991882563,26.367574739001263,14.259408632060513,48.25117591753394,15036.510651854684,3.643990206278826,1709.0219186884144,3.643990206278826,1709.0219186884144,1709.0219186884144,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,20,970187386,520,0.02,15,0.08537312560723757,0.0,0.0,-1,0,34.9218538030982,30.60422830077676,16.486827552784234,53.18262158965315,1483.574154765037,0.12807893726733113,1395.42332231488,0.12807893726733113,1395.42332231488,1395.42332231488,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,20,1219839873,520,0.02,15,0.0839109884157142,0.0,0.0,-1,0,31.92338510416448,27.74663695241683,15.003289922140539,55.95674017047503,3114.973435929954,0.29462069075784175,1676.4158905672177,0.29462069075784175,1676.4158905672177,1676.4158905672177,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,20,1428160212,520,0.02,15,0.08030387184580508,0.0,0.0,-1,0,34.76720303297043,29.61487840511836,15.961263129021972,57.34324566266666,11937.241034684126,0.07000038316148813,1313.9541320240287,0.07000038316148813,1313.9541320240287,1313.9541320240287,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,21,1930609499,520,0.02,15,0.0619931148398492,1.0,1.0,54,24,31.454961048439145,28.151731558430654,15.181311076972634,48.37857295075576,15133.933493780687,4.025749850716046,1727.2361535549805,4.025749850716046,1727.2361535549805,1727.2361535549805,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,21,710582861,520,0.02,15,0.08176899863919851,0.0,0.0,-1,0,33.40672585181892,30.129425775689576,16.230001743184403,52.21950978877872,1439.5620304277836,0.5645221467459912,1375.3612596441824,0.5645221467459912,1375.3612596441824,1375.3612596441824,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,21,1463614337,520,0.02,15,0.08526065114122595,0.0,0.0,-1,0,34.71812093630433,31.86854131412334,17.124009126098827,58.09024079796261,3980.9866851577003,0.25234661499832817,1852.4413574325624,0.25234661499832817,1852.4413574325624,1852.4413574325624,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,21,1940152705,520,0.02,15,0.06422183987209333,1.0,1.0,51,20,34.95203307829797,31.9282643608928,17.155063131824136,56.337088483778516,13906.713829123188,0.2753254840517231,1028.8578873395852,0.2753254840517231,1028.8578873395852,1028.8578873395852,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,22,985452196,520,0.02,15,0.05836825924368769,1.0,1.0,53,19,31.607910990715027,28.888159097942452,15.541647301055491,49.028280165384565,15039.225522801675,3.41496302206767,1706.4799724925401,3.41496302206767,1706.4799724925401,1706.4799724925401,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,22,552062587,520,0.02,15,0.0872037658739713,0.0,0.0,-1,0,34.18047912418842,31.348912174759718,16.853091824101284,52.79597014665207,1440.9741210649604,0.04906392202610837,1299.4621153112266,0.04906392202610837,1299.4621153112266,1299.4621153112266,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,22,623566272,520,0.02,15,0.09294588421981173,0.0,0.0,-1,0,34.57063203677535,31.347964291210072,16.852468305034563,56.224755478955686,4614.013650991634,0.5055107011230445,1693.571600814454,0.5055107011230445,1693.571600814454,1693.571600814454,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,22,729775797,520,0.02,15,0.06879329104605894,1.0,1.0,50,18,34.96368695050478,32.0745422755583,17.229377425042912,56.43249757621616,10599.304874053916,0.10513962930168202,1178.572865626735,0.10513962930168202,1178.572865626735,1178.572865626735,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,23,1352536665,520,0.02,15,0.0512327698293203,1.0,1.0,53,15,31.428839080035686,28.508803470490072,15.34491119114682,48.5078497462568,15188.402932760437,3.5908532625921685,1686.431323486428,3.5908532625921685,1686.431323486428,1686.431323486428,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,23,555883440,520,0.02,15,0.08214933186499235,0.0,0.0,-1,0,34.47196283377707,31.64058530371851,17.00403406401165,50.53104586843748,1493.1316858134398,0.2217873377064482,1306.3698403180454,0.2217873377064482,1306.3698403180454,1306.3698403180454,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,23,1801800003,520,0.02,15,0.09436814299101118,0.0,0.0,-1,0,34.66473100706935,31.41743015641203,16.888707848032936,55.07495376640867,2865.298691745339,0.08990010498823077,1762.0015595686725,0.08990010498823077,1762.0015595686725,1762.0015595686725,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,23,763315502,520,0.02,15,0.05296439167393217,1.0,1.0,50,29,35.40317388251424,32.44768643187574,17.42316800984554,58.15381171963745,22423.222078452174,0.31697655133736535,1156.7857991016097,0.31697655133736535,1156.7857991016097,1156.7857991016097,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,24,138897982,520,0.02,15,0.06084476974778485,1.0,1.0,54,19,31.50125895626843,28.693709451741036,15.440921779023483,48.14778530397854,15063.736169209024,3.397788378951692,1828.704410155039,3.397788378951692,1828.704410155039,1828.704410155039,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,24,10785379,520,0.02,15,0.0776903545696126,1.0,1.0,163,7,34.49649200774729,31.585189211182296,16.973779550986364,52.069212756080844,1909.0222113924297,0.09978373057477867,1241.3234756879062,0.09978373057477867,1241.3234756879062,1241.3234756879062,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,24,53923185,520,0.02,15,0.0872192020497284,0.0,0.0,-1,0,34.66659504920244,31.480147157652446,16.918505219975486,55.055477187670775,3392.3733051158624,0.5265178160472674,1555.244101879394,0.5265178160472674,1555.244101879394,1555.244101879394,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,24,1349917978,520,0.02,15,0.08043726335328585,0.0,0.0,-1,0,35.3309060446918,32.39685153373732,17.394326184876263,57.259439844169975,2631.8826416566258,0.4877131452910674,1201.449984901562,0.4877131452910674,1201.449984901562,1201.449984901562,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,25,744789065,520,0.02,15,0.05120537821559104,1.0,1.0,54,17,31.689900904893875,28.685472843846163,15.435676373075694,48.17553108260088,15123.181172091381,3.554187989458227,1703.212641277059,3.554187989458227,1703.212641277059,1703.212641277059,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,25,606412246,520,0.02,15,0.08545200040583059,0.0,0.0,-1,0,34.27062486298382,31.501671916339546,16.929544635815546,51.45929464435599,1588.8008414192066,0.2482571660959768,1330.3558042057632,0.2482571660959768,1330.3558042057632,1330.3558042057632,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,25,1311962371,520,0.02,15,0.08926272524561629,0.0,0.0,-1,0,38.017484126612544,31.779083834799867,17.075680047972128,55.45731898440397,3657.9864760151645,0.18494311599223512,1650.952017263577,0.18494311599223512,1650.952017263577,1650.952017263577,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,25,146217199,520,0.02,15,0.07319741601991078,1.0,1.0,50,13,36.75368893891573,32.120972458058255,17.262934024911374,55.11873069973462,23147.296139318467,0.22903004185055972,1124.7145653874873,0.22903004185055972,1124.7145653874873,1124.7145653874873,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,26,1162395141,520,0.02,15,0.05008288029715005,1.0,1.0,53,16,31.909611076116562,29.384272621693807,15.798617812106386,48.046433034811635,15026.964890847474,3.3139921124103546,1697.4237266533578,3.3139921124103546,1697.4237266533578,1697.4237266533578,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,26,1324630141,520,0.02,15,0.0868797872020022,0.0,0.0,-1,0,34.84502108767629,31.721235514403535,17.045416303910315,53.31112957400033,1625.672888867699,0.02484057522621373,1581.7776530030894,0.02484057522621373,1581.7776530030894,1581.7776530030894,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,26,68269102,520,0.02,15,0.09506567757847043,0.0,0.0,-1,0,34.93543900549412,32.26852727910647,17.32997740106657,56.0178945084104,3302.591258662716,0.13167173831168344,1836.238732283179,0.13167173831168344,1836.238732283179,1836.238732283179,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,26,378657889,520,0.02,15,0.0826121076953574,0.0,0.0,-1,0,34.715490182861686,32.13066833514649,17.2575130101759,57.66232567856082,17309.908260947606,0.8387584478109137,1324.73342131994,0.8387584478109137,1324.73342131994,1324.73342131994,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,27,838210359,520,0.02,15,0.06133129026943265,1.0,1.0,53,20,31.989896902814507,29.443581516478353,15.83125744620338,47.759058177046235,14827.166091450383,3.7989662829023825,1729.1139529248283,3.7989662829023825,1729.1139529248283,1729.1139529248283,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,27,653669083,520,0.02,15,0.07764954595924183,1.0,1.0,390,2,34.51435384340584,32.05407760509003,17.217785437125713,51.955457436461565,1506.067421670241,0.12760703662607092,1456.753706677002,0.12760703662607092,1456.753706677002,1456.753706677002,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,27,2041536189,520,0.02,15,0.09500711306495123,0.0,0.0,-1,0,34.59990303963423,31.803866129261085,17.08708990109153,55.026556463880105,2558.3042999971467,0.08906473612683515,1803.5298248596596,0.08906473612683515,1803.5298248596596,1803.5298248596596,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,27,946797216,520,0.02,15,0.07094348622302155,1.0,1.0,50,12,34.98375881463289,32.311199116072835,17.351635217899457,60.54865467856616,16831.553202559116,0.1687770234055299,1271.4536871536561,0.1687770234055299,1271.4536871536561,1271.4536871536561,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,28,1389289275,520,0.02,15,0.058189467656680996,1.0,1.0,54,23,31.927273143082857,29.06813854799391,15.632766738999635,48.52063260480257,14694.540900695598,3.484510603917838,1738.8572544018054,3.484510603917838,1738.8572544018054,1738.8572544018054,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,28,322557070,520,0.02,15,0.07688087282379616,1.0,1.0,49,3,34.65142101049423,31.932648544898257,17.15262234187685,52.98153061676476,1433.4709222180363,0.21474562523150742,1308.9290843091062,0.21474562523150742,1308.9290843091062,1308.9290843091062,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,28,1731742693,520,0.02,15,0.08802156246736095,0.0,0.0,-1,0,34.93734891526401,32.133729986918084,17.26044610608369,55.3405291341562,4324.638730493204,0.5539035347132688,1699.1778848968834,0.5539035347132688,1699.1778848968834,1699.1778848968834,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,28,467998669,520,0.02,15,0.07474739069087086,1.0,1.0,49,9,35.269809886813164,32.54540593837961,17.474234808934852,59.16593356909289,11086.022074854925,0.6977470748613476,1267.246774435844,0.6977470748613476,1267.246774435844,1267.246774435844,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,29,1647913984,520,0.02,15,0.06403866343337969,1.0,1.0,56,15,31.719075050204992,29.136373938168756,15.668774952879176,48.37455777347249,15102.953811600244,2.7184378000610674,1795.2466599236461,2.7184378000610674,1795.2466599236461,1795.2466599236461,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,29,1018622608,520,0.02,15,0.0858068476880044,0.0,0.0,-1,0,34.554413985461,31.60316343195378,16.984393574064597,52.58642898042439,1621.3401250697343,0.028593348341592145,1439.579779725639,0.028593348341592145,1439.579779725639,1439.579779725639,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,29,873344961,520,0.02,15,0.09479955867477156,0.0,0.0,-1,0,34.61906989105046,31.827571362149545,17.09922253503464,56.352323154573966,3775.7105798385446,0.4851512602064514,1699.7413391720156,0.4851512602064514,1699.7413391720156,1699.7413391720156,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,29,1022994326,520,0.02,15,0.07452296602884963,1.0,1.0,162,4,35.20894795656204,32.263814664195074,17.326765506062657,60.56378608579108,1423.4196592613914,0.6825542621619474,1277.065512624905,0.6825542621619474,1277.065512624905,1277.065512624905,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,30,1150738891,520,0.02,15,0.058884298272893994,1.0,1.0,55,13,31.763995066285133,29.168372075610723,15.684359015896916,48.37318524565063,15009.364679747074,3.4018744887017442,1850.348238377337,3.4018744887017442,1850.348238377337,1850.348238377337,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,30,548107305,520,0.02,15,0.08389148421555853,0.0,0.0,-1,0,34.82183301821351,31.441717196811133,16.9061631730292,51.69283448747758,1438.8815402141302,0.20357241416166333,1425.8694908502173,0.20357241416166333,1425.8694908502173,1425.8694908502173,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,30,260569130,520,0.02,15,0.09216994252850785,0.0,0.0,-1,0,34.73542211577296,31.573648472280745,16.976737092947587,55.07624124654682,3414.6597639219203,0.4459630975828274,1889.0307417101656,0.4459630975828274,1889.0307417101656,1889.0307417101656,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,30,639016547,520,0.02,15,0.07441037505833444,1.0,1.0,154,7,35.00154917128384,32.347091393939294,17.372728975024074,56.93175014204955,7402.363412318355,0.07595377467201218,1179.5572095261623,0.07595377467201218,1179.5572095261623,1179.5572095261623,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,31,2123951056,520,0.02,15,0.05163644098171565,1.0,1.0,53,20,31.60839295014739,29.34454652758387,15.778649884043261,48.6691400317894,14952.147565513773,3.835953024219775,1749.1264495605496,3.835953024219775,1749.1264495605496,1749.1264495605496,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,31,599292075,520,0.02,15,0.0738124668071565,1.0,1.0,162,2,34.414142137393355,31.556788608969118,16.961124618072063,51.35402409390483,1723.1308994574863,0.03091036320953693,1348.9217018711659,0.03091036320953693,1348.9217018711659,1348.9217018711659,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,31,1433570083,520,0.02,15,0.0874368190734421,0.0,0.0,-1,0,34.774268977344036,32.21898953555725,17.304541483987123,56.89602689458029,3969.439039954008,0.10980664506565355,1747.4567618936487,0.10980664506565355,1747.4567618936487,1747.4567618936487,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,31,559589597,520,0.02,15,0.07348256898251225,1.0,1.0,50,13,35.276575945317745,32.15777111830763,17.278508823132142,55.52407040687773,6861.8006681524,0.8182322971549565,1171.9234532564678,0.8182322971549565,1171.9234532564678,1171.9234532564678,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,32,1799442136,520,0.02,15,0.0490875086181563,1.0,1.0,54,13,33.11858093366027,30.431798790008404,16.347790063824505,48.759220895137794,15235.75328221796,3.6878174796807155,1790.8606113963174,3.6878174796807155,1790.8606113963174,1790.8606113963174,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,32,1036722625,520,0.02,15,0.09047146081770359,0.0,0.0,-1,0,36.629562033340335,33.15248326487983,17.79406857700087,51.876464908123204,1574.0615703104806,0.07515616801116592,1390.406316275544,0.07515616801116592,1390.406316275544,1390.406316275544,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,32,1218338984,520,0.02,15,0.09357857648865475,0.0,0.0,-1,0,37.48287004418671,32.18772002057029,17.316140258917585,55.34963651731876,3914.293827357481,0.02653627153197978,1671.9108455314124,0.02653627153197978,1671.9108455314124,1671.9108455314124,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,32,455221513,520,0.02,15,0.07376140691914518,1.0,1.0,51,11,37.511090049520135,33.58594886152647,18.029228152008727,55.61471699122869,17848.911545699237,0.05077263166526766,1165.6606439437126,0.05077263166526766,1165.6606439437126,1165.6606439437126,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,33,1304975114,520,0.02,15,0.04216166109069893,1.0,1.0,54,21,33.97602098993957,29.89768470109154,16.073590486077592,48.681509380526236,15119.282720227226,3.301582753430432,1682.695315190922,3.301582753430432,1682.695315190922,1682.695315190922,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,33,1064358601,520,0.02,15,0.07701213605902438,1.0,1.0,389,3,34.771572798490524,31.652045312176387,17.01301190792583,53.29409622669937,1821.2392212182037,0.715242305435609,1327.694613814713,0.715242305435609,1327.694613814713,1327.694613814713,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,33,1530335909,520,0.02,15,0.08251609411219452,0.0,0.0,-1,0,35.11349787004292,31.985873808690275,17.186594737926498,54.729569285847646,3288.254938080566,0.29492212601702816,1795.8415124350815,0.29492212601702816,1795.8415124350815,1795.8415124350815,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,33,528842169,520,0.02,15,0.06948925538336792,1.0,1.0,263,7,35.178404999896884,30.678640143909995,16.51175807020627,57.579337523289226,4388.544779207988,0.10911779853835483,1433.7579526931825,0.10911779853835483,1433.7579526931825,1433.7579526931825,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,34,1307520020,520,0.02,15,0.050349285349088134,1.0,1.0,54,21,30.574214179068804,27.217112764125115,14.679645346011966,48.467558593933205,15045.93808665199,3.4914265430270466,1677.2357761298445,3.4914265430270466,1677.2357761298445,1677.2357761298445,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,34,1800627784,520,0.02,15,0.0795538845275151,1.0,1.0,390,1,35.28298088349402,31.4076228112054,16.88801725092344,51.94191247631565,1444.9208780775532,0.3926075542351907,1378.9244753332216,0.3926075542351907,1378.9244753332216,1378.9244753332216,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,34,1003642109,520,0.02,15,0.09085295031409424,0.0,0.0,-1,0,33.10175100341439,28.669979537908848,15.467041485011578,56.13498398697439,2938.4001308351512,0.7030920672935079,1752.4299397804289,0.7030920672935079,1752.4299397804289,1752.4299397804289,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,34,386827496,520,0.02,15,0.08026763773907518,0.0,0.0,-1,0,33.48121605813503,29.598822540048367,15.949959629913792,59.29237881171602,19425.964640186638,0.22705377418785466,1310.1727287903655,0.22705377418785466,1310.1727287903655,1310.1727287903655,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,35,156365210,520,0.02,15,0.05352502383527775,1.0,1.0,55,14,31.386252027004957,28.630569317521385,15.407708510989323,48.528051828440475,15208.673004836375,3.1842222987053512,1781.41621607921,3.1842222987053512,1781.41621607921,1781.41621607921,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,35,1851466537,520,0.02,15,0.077786034427525,1.0,1.0,390,7,34.21308705583215,31.376031120397293,16.866428076988086,52.569225246551824,2046.424540828266,0.25209951991349205,1282.3625679433705,0.25209951991349205,1282.3625679433705,1282.3625679433705,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,35,1084556788,520,0.02,15,0.0896903844588289,0.0,0.0,-1,0,34.53702316619456,31.912552954879803,17.145350435981527,55.821081934700615,3106.8669562070086,0.04106421756109128,1623.6870570827966,0.04106421756109128,1623.6870570827966,1623.6870570827966,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,35,382895141,520,0.02,15,0.07112226634297523,1.0,1.0,156,12,34.960935125127435,31.93683390989183,17.157853848999366,58.17089308895618,1322.5939780913866,0.4379740803854403,1216.0447730453195,0.4379740803854403,1216.0447730453195,1216.0447730453195,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,36,630896202,520,0.02,15,0.051703175868354316,1.0,1.0,53,22,31.116389902308583,28.989742547184086,15.59224812197499,48.33740091932185,14991.350213327492,3.4405427258487125,1679.691926859119,3.4405427258487125,1679.691926859119,1679.691926859119,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,36,1611753761,520,0.02,15,0.07498464183657384,1.0,1.0,50,6,34.22322100959718,31.322370141368502,16.838313146028668,49.98015428090423,1675.0651272512441,0.11765709316519503,1273.7720858247237,0.11765709316519503,1273.7720858247237,1273.7720858247237,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,36,795837702,520,0.02,15,0.07981042956221197,1.0,1.0,164,1,34.36491312459111,31.394432857632637,16.876472603995353,57.82054529715093,2490.030414461289,0.3079445493468841,1717.8814631192045,0.3079445493468841,1717.8814631192045,1717.8814631192045,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,36,1312371073,520,0.02,15,0.07234069366919796,1.0,1.0,50,13,35.45561712235212,32.017418027568894,17.202297416049987,58.030926888528924,9733.403248751769,0.0753348650627649,1394.4214955802372,0.0753348650627649,1394.4214955802372,1394.4214955802372,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
